Building ID,season,status,rc_file,sim_file,plot_file,window_start_hour,window_end_hour_exclusive,plotted_hours,window_mode
DEBW_52210003qwF,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210003qwF_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210003qwF_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210003qwF_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210003qwF,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210003qwF_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210003qwF_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210003qwF_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210004IuQ,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004IuQ_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004IuQ_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004IuQ_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210004IuQ,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004IuQ_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004IuQ_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004IuQ_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210004IuQ,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004IuQ_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004IuQ_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004IuQ_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210005eg5,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005eg5_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005eg5_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005eg5_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210005eg5,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005eg5_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005eg5_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005eg5_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210005eg5,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005eg5_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005eg5_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005eg5_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210005LZh,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005LZh_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005LZh_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005LZh_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210005LZh,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005LZh_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005LZh_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005LZh_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
