GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total shared wall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Domestic hot water demand;Specific space heating demand;Yearly Heating demand;Total Yearly Heating + DHW demand;January Heating demand;February Heating demand;March Heating demand;April Heating demand;May Heating demand;June Heating demand;July Heating demand;August Heating demand;September Heating demand;October Heating demand;November Heating demand;December Heating demand;Specific space Cooling demand;Yearly Cooling demand;January Cooling demand;February Cooling demand;March Cooling demand;April Cooling demand;May Cooling demand;June Cooling demand;July Cooling demand;August Cooling demand;September Cooling demand;October Cooling demand;November Cooling demand;December Cooling demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/a];[kWh/(m²·a)];[kWh/a];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBW_52210003rro;;48,77275;9,20805;515286,74;5402214,56;LOD_2;1980;;Original;31001_2463;garage;12,0;none;0,0;EFH;13,1;37,1;0,0;37,1;0,0;13,2;30,8;false;27,9;2,6;2,12;1;2,1;0;0;NOT_HEATED;NO_ROOM;0,0;2,062;12,0;0,88;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003rwQ;;48,77120;9,21027;515450,06;5402043,40;LOD_2;1980;;Original;31001_2463;garage;52,3;none;0,0;EFH;65,3;71,6;0,0;97,7;14,8;65,3;222,8;false;163,4;3,4;3,41;1;2,5;0;0;NO_ROOM;NOT_HEATED;0,9;1,025;52,3;0,76;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003sJH;;48,77480;9,20497;515059,70;5402442,17;LOD_2;1980;;Original;31001_2463;garage;12,7;none;0,0;RH;15,2;34,8;0,0;44,3;17,2;15,7;60,8;false;39,7;4,4;3,36;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,9;1,237;12,7;0,97;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003sMd;;48,77154;9,20724;515227,58;5402080,00;LOD_2;1980;;Original;31001_1010;residential;4,1;none;0,0;RH;2,6;23,4;0,0;25,2;15,3;2,8;14,5;false;12,9;5,8;5,40;2;2,5;0;0;NOT_HEATED;NOT_HEATED;0,4;2,112;4,1;1,23;15,7;65,0;290,4;1200;1265;305;232;131;30;1;0;0;0;0;38;180;283;197,5;816;1;4;19;53;102;189;218;146;64;16;3;1
DEBW_52210003sTZ;;48,77104;9,21191;515570,23;5402025,67;LOD_2;1980;;Original;31001_1010;residential;221,4;none;0,0;EFH;83,0;260,5;0,0;276,1;14,0;108,3;732,0;false;692,0;10,5;7,08;4;2,5;1;2;HEATED;NOT_HEATED;0,5;0,638;221,4;0,95;15,8;3508,0;108,4;24006;27514;5421;4297;2928;1071;204;1;0;0;112;1355;3558;5060;27,1;6008;2;5;35;165;480;1444;2028;1365;420;56;6;2
DEBW_52210003sUv;;48,77482;9,20445;515021,11;5402443,76;LOD_2;1980;;Original;31001_1010;residential;153,1;none;0,0;RH;94,4;48,5;0,0;67,6;116,7;139,9;572,7;false;478,3;8,8;3,22;3;2,6;2;3;HEATED;NOT_HEATED;1,0;0,527;153,1;0,79;15,8;2425,0;86,8;13291;15716;3016;2398;1592;519;82;0;0;0;55;777;2020;2831;27,4;4199;0;1;15;104;363;1056;1407;951;276;23;2;0
DEBW_52210003t13;;48,77276;9,20729;515230,34;5402216,17;LOD_2;1980;;Original;31001_2463;garage;50,9;none;0,0;RH;27,8;42,2;0,0;42,2;54,4;29,4;133,4;false;119,3;5,3;4,29;2;2,1;0;0;NOT_HEATED;NO_ROOM;0,0;0,746;50,9;0,86;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003t47;;48,77087;9,21214;515587,51;5402006,47;LOD_2;1980;;Original;31001_1010;residential;67,9;none;0,0;EFH;54,2;97,0;0,0;121,0;16,5;78,0;304,1;false;249,9;7,4;3,70;2;3,2;1;2;HEATED;NOT_HEATED;1,0;0,833;67,9;0,88;15,8;1076,0;145,7;9895;10971;2269;1793;1199;422;68;0;0;0;34;527;1469;2114;39,6;2687;1;4;25;96;249;644;870;564;194;34;4;1
DEBW_52210003t7f;;48,77408;9,20483;515049,31;5402361,67;LOD_2;1980;;Original;31001_1010;residential;308,8;none;0,0;MFH;95,3;240,1;0,0;265,6;129,2;132,6;1060,4;false;965,1;14,1;8,02;5;2,6;2;5;HEATED;NOT_HEATED;1,0;0,465;308,8;0,96;15,8;4892,0;91,8;28340;33232;6249;5042;3503;1256;215;1;0;0;157;1780;4260;5877;23,0;7099;1;2;18;139;558;1863;2513;1595;379;29;2;1
DEBW_52210003tF5;;48,77156;9,20649;515171,82;5402082,34;LOD_2;1980;;Original;31001_2463;garage;63,1;none;0,0;RH;53,3;95,2;0,0;109,1;22,4;56,0;229,5;false;197,3;5,6;2,80;2;2,5;0;0;HEATED;NOT_HEATED;0,6;0,951;63,1;0,99;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003tEX;;48,77170;9,20515;515073,87;5402097,64;LOD_2;1980;;Original;31001_1010;residential;2,7;none;0,0;RH;2,9;8,2;0,0;8,2;9,1;3,0;7,4;false;6,4;2,8;2,18;1;2,2;0;0;NOT_HEATED;NO_ROOM;0,0;1,934;2,7;1,01;15,7;42,0;192,2;515;557;131;97;55;14;1;0;0;0;0;19;77;122;145,9;391;1;2;9;26;46;86;102;72;37;9;2;1
DEBW_52210003tI9;;48,77234;9,20837;515309,93;5402169,15;LOD_2;1980;;Original;31001_2463;garage;14,2;none;0,0;RH;17,5;21,4;0,0;25,1;35,7;18,5;63,1;false;44,4;4,2;2,98;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,5;0,967;14,2;0,84;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003tNq;;48,77484;9,20626;515153,99;5402446,51;LOD_2;1980;;Original;31001_1010;residential;244,1;none;0,0;MFH;91,0;326,8;0,0;364,4;0,0;100,6;853,8;false;762,8;11,0;7,04;4;2,5;2;4;HEATED;NOT_HEATED;1,0;0,651;244,1;1,02;15,8;3866,0;115,8;28257;32123;6517;5113;3347;1120;190;0;0;0;104;1533;4244;6089;37,6;9180;3;10;69;317;844;2193;2923;2023;691;93;10;3
DEBW_52210003tcH;;48,77228;9,21044;515462,15;5402163,14;LOD_2;1980;;Original;31001_1010;residential;21,9;none;0,0;RH;27,5;51,8;0,0;56,0;43,9;27,5;74,1;false;68,5;2,7;2,70;1;2,5;1;2;NO_ROOM;NOT_HEATED;0,2;1,499;21,9;0,95;15,8;347,0;211,5;4636;4983;1075;854;561;179;19;0;0;0;7;240;700;1002;64,5;1414;1;3;16;62;155;356;442;275;89;14;2;1
DEBW_52210003tdq;;48,77359;9,20815;515293,62;5402307,93;LOD_2;1980;;Original;31001_2463;garage;16,7;none;0,0;RH;20,9;33,8;0,0;45,4;18,3;20,9;70,1;false;52,2;3,4;3,35;1;2,5;0;0;NO_ROOM;NOT_HEATED;0,9;1,244;16,7;0,91;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003ty5;;48,77481;9,20472;515040,93;5402442,66;LOD_2;1980;;Original;31001_2723;shed;61,0;none;0,0;EFH;50,3;82,3;0,0;97,7;12,9;72,8;221,2;false;190,6;5,6;2,99;2;2,5;0;0;HEATED;NOT_HEATED;0,6;0,998;61,0;0,86;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003tvP;;48,77193;9,21053;515468,70;5402124,62;LOD_2;1980;;Original;31001_2463;garage;14,7;none;0,0;EFH;18,3;42,1;0,0;45,2;6,1;18,4;52,2;false;45,9;3,0;2,70;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,2;1,569;14,7;0,85;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003u5D;;48,77490;9,20541;515091,62;5402453,13;LOD_2;1980;;Original;31001_2723;shed;45,3;none;0,0;EFH;24,7;82,9;0,0;82,9;0,0;24,7;101,4;false;101,4;4,1;4,11;2;2,1;0;0;NO_ROOM;NO_ROOM;0,0;1,305;45,3;0,92;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003u4h;;48,77321;9,20852;515320,76;5402265,87;LOD_2;1980;;Original;31001_1010;residential;225,6;none;0,0;MFH;76,1;174,3;0,0;195,4;129,7;100,7;781,0;false;704,9;12,2;8,27;4;2,8;2;10;HEATED;NOT_HEATED;1,0;0,477;225,6;0,95;15,8;3573,0;86,1;19412;22985;4418;3487;2345;820;151;1;0;0;81;1091;2898;4119;24,6;5542;1;3;24;136;427;1328;1858;1308;411;43;3;1
DEBW_52210003u94;;48,77240;9,21391;515717,31;5402176,68;LOD_2;1980;;Original;31001_2513;water tank;75,9;none;0,0;EFH;34,7;111,6;0,0;111,6;0,0;43,9;226,3;true;194,2;6,5;4,64;2;2,3;0;0;NOT_HEATED;NO_ROOM;0,0;0,841;75,9;0,90;32,9;2495,0;0,0;0;2495;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003uBM;;48,77445;9,20508;515067,70;5402403,24;LOD_2;1980;;Original;31001_1010;residential;581,4;none;0,0;MFH;183,9;496,3;0,0;547,0;47,4;202,0;2000,8;false;1816,9;12,4;8,95;4;2,9;4;10;HEATED;NOT_HEATED;1,0;0,466;581,4;0,98;15,8;9209,0;86,5;50302;59511;11453;9057;6053;2057;354;2;0;0;208;2856;7556;10707;26,2;15247;2;7;64;382;1250;3713;5085;3538;1087;108;8;2
DEBW_52210003uKC;;48,77137;9,20974;515411,26;5402061,89;LOD_2;1980;;Original;31001_1010;residential;20,5;none;0,0;RH;7,6;57,8;0,0;57,8;63,7;10,3;60,1;false;55,8;8,5;7,38;3;2,5;1;1;NOT_HEATED;NO_ROOM;0,0;1,260;20,5;1,20;15,8;324,0;135,1;2763;3087;743;516;277;78;10;0;0;0;2;81;387;671;137,4;2812;10;30;105;204;286;484;619;549;349;134;31;11
DEBW_52210003uQC;;48,77264;9,20870;515334,25;5402202,53;LOD_2;1980;;Original;31001_2463;garage;17,5;none;0,0;RH;21,8;33,2;0,0;43,5;23,5;21,8;71,7;false;54,8;3,3;3,27;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,8;1,216;17,5;0,88;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003uZg;;48,77184;9,20951;515393,94;5402114,45;LOD_2;1980;;Original;31001_1010;residential;311,6;none;0,0;MFH;109,9;329,8;0,0;369,4;12,5;145,3;1083,8;false;973,9;12,0;7,31;4;2,8;2;2;HEATED;NOT_HEATED;1,0;0,576;311,6;0,99;15,8;4936,0;102,3;31879;36815;7292;5736;3815;1315;232;1;0;0;131;1764;4771;6822;31,0;9647;2;8;58;284;825;2338;3162;2170;702;89;8;2
DEBW_52210003udj;;48,77434;9,20906;515359,98;5402391,60;LOD_2;1980;;Original;31001_1010;residential;126,9;none;0,0;EFH;61,2;181,4;0,0;212,0;0,0;89,0;457,9;false;396,6;9,0;5,73;3;2,7;1;3;HEATED;NOT_HEATED;1,0;0,791;126,9;0,94;15,8;2010,0;126,5;16057;18067;3677;2904;1918;658;112;0;0;0;60;884;2408;3436;36,6;4643;2;5;35;158;419;1119;1508;1010;335;45;5;2
DEBW_52210003uli;;48,77242;9,20983;515417,59;5402178,75;LOD_2;1980;;Original;31001_2463;garage;56,3;none;0,0;RH;30,5;65,2;0,0;65,2;20,5;30,5;117,9;false;117,9;3,9;3,86;2;1,9;0;0;NO_ROOM;NO_ROOM;0,0;1,071;56,3;0,96;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003uuj;;48,77212;9,20863;515329,08;5402144,63;LOD_2;1980;;Original;31001_2463;garage;30,7;none;0,0;RH;37,7;58,2;0,0;62,4;17,9;41,4;133,0;false;96,0;4,2;2,72;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,2;1,064;30,7;0,88;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003uss;;48,77453;9,20420;515002,70;5402411,45;LOD_2;1980;;Original;31001_1010;residential;426,3;none;0,0;MFH;106,5;353,0;0,0;358,8;160,6;106,5;1354,3;false;1332,1;12,7;12,71;5;2,5;3;4;NO_ROOM;NOT_HEATED;0,2;0,422;426,3;0,97;15,8;6752,0;82,9;35319;42071;7830;6286;4388;1650;328;2;0;0;184;2110;5227;7314;19,0;8083;1;3;23;150;546;1975;2863;1948;526;46;3;1
DEBW_52210003uzO;;48,77237;9,20993;515424,82;5402173,46;LOD_2;1980;;Original;31001_1010;residential;414,7;none;0,0;MFH;125,8;395,3;0,0;426,2;32,4;167,3;1391,3;false;1295,9;13,3;8,76;5;2,5;3;6;HEATED;NOT_HEATED;0,8;0,517;414,7;0,99;15,8;6569,0;95,7;39679;46248;8998;7119;4810;1701;311;2;0;0;175;2243;5914;8406;26,8;11133;2;8;55;292;900;2697;3718;2559;798;94;8;2
DEBW_52210003v4C;;48,77366;9,20454;515028,15;5402314,82;LOD_2;1980;;Original;31001_1010;residential;238,3;none;0,0;RH;74,5;241,4;0,0;242,5;110,6;74,5;748,1;false;744,7;10,0;10,05;4;2,5;3;7;NO_ROOM;NOT_HEATED;0,0;0,523;238,3;1,06;15,8;3775,0;93,0;22173;25948;5228;4041;2560;834;149;1;0;0;70;1108;3319;4864;34,6;8242;2;9;66;287;714;1883;2550;1882;731;106;10;3
DEBW_52210003v7t;;48,77264;9,20809;515289,53;5402203,06;LOD_2;1980;;Original;31001_2723;shed;5,6;none;0,0;RH;6,1;16,3;0,0;16,3;8,1;6,2;14,0;false;13,4;2,4;2,18;1;2,2;0;0;NOT_HEATED;NO_ROOM;0,0;2,044;5,6;0,99;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003vBM;;48,77166;9,20560;515106,71;5402093,20;LOD_2;1980;;Original;31001_1010;residential;376,4;none;0,0;MFH;111,9;423,0;0,0;450,5;0,0;143,7;1250,4;false;1176,1;13,2;8,15;5;2,5;3;5;HEATED;NOT_HEATED;0,7;0,565;376,4;1,02;15,8;5962,0;102,8;38707;44669;8866;6978;4630;1599;284;1;0;0;159;2133;5786;8273;31,2;11740;3;10;72;349;1003;2840;3841;2640;859;111;10;3
DEBW_52210003vBz;;48,77286;9,20898;515354,41;5402226,97;LOD_2;1980;;Original;31001_2463;garage;14,5;none;0,0;RH;18,0;18,1;0,0;23,4;43,0;20,5;73,3;false;45,3;4,8;3,28;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,8;0,843;14,5;0,79;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003xIr;;48,77084;9,20872;515336,49;5402002,15;LOD_2;1980;;Original;31001_1010;residential;191,6;none;0,0;RH;74,8;183,3;0,0;196,1;82,3;92,0;638,0;false;598,6;10,5;6,27;4;2,5;2;5;HEATED;NOT_HEATED;0,5;0,569;191,6;1,04;15,8;3034,0;103,3;19792;22826;4592;3589;2321;738;114;0;0;0;72;1076;2996;4294;38,4;7357;2;7;49;246;716;1805;2324;1612;523;67;6;2
DEBW_52210003xLd;;48,77100;9,20804;515286,08;5402020,22;LOD_2;1980;;Original;31001_2463;garage;20,9;none;0,0;EFH;22,9;45,6;0,0;45,6;0,0;22,9;52,3;false;48,1;2,5;2,11;1;2,1;0;0;NOT_HEATED;NO_ROOM;0,0;1,747;20,9;0,81;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210003xN2;;48,77093;9,20943;515388,03;5402012,99;LOD_2;1980;;Original;31001_1010;residential;317,1;none;0,0;MFH;109,7;391,2;0,0;435,2;0,0;121,9;1100,5;false;990,8;11,2;8,47;4;2,6;2;4;HEATED;NOT_HEATED;1,0;0,606;317,1;1,02;15,8;5022,0;109,0;34562;39584;7953;6242;4099;1383;238;1;0;0;133;1889;5189;7437;34,8;11045;3;10;76;358;990;2661;3559;2449;819;107;10;3
DEBW_52210003yB9;;48,77127;9,20998;515429,00;5402051,23;LOD_2;1980;;Original;31001_2463;garage;55,6;none;0,0;EFH;61,4;84,3;0,0;84,3;3,0;61,4;161,0;false;147,4;2,8;2,40;1;2,4;0;0;NOT_HEATED;NO_ROOM;0,0;1,286;55,6;0,75;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004Elg;;48,77165;9,21280;515635,75;5402093,18;LOD_2;1980;;Original;31001_2463;garage;17,9;none;0,0;RH;22,0;41,9;0,0;48,7;18,4;22,0;64,8;false;55,9;2,9;2,90;1;2,5;0;0;NO_ROOM;NOT_HEATED;0,4;1,432;17,9;0,95;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004Eso;;48,77167;9,21166;515552,19;5402094,98;LOD_2;1980;;Original;31001_1010;residential;9,7;none;0,0;RH;6,1;38,5;0,0;40,8;13,1;6,1;33,1;false;30,3;5,6;5,31;2;2,5;1;1;NOT_HEATED;NOT_HEATED;0,3;1,600;9,7;1,18;15,8;153,0;199,8;1935;2088;510;368;198;50;3;0;0;0;0;58;281;467;185,4;1796;5;14;58;131;205;352;427;336;191;60;13;5
DEBW_52210004EqD;;48,77320;9,20439;515017,64;5402264,20;LOD_2;1980;;Original;31001_1010;residential;299,0;none;0,0;MFH;96,2;327,1;0,0;361,6;0,0;121,0;1030,5;false;934,3;11,6;5,90;4;2,6;2;3;HEATED;NOT_HEATED;1,0;0,562;299,0;1,01;15,8;4736,0;101,2;30265;35001;6936;5448;3626;1270;226;1;0;0;126;1643;4515;6474;30,4;9087;2;8;57;265;773;2194;2971;2042;669;93;9;2
DEBW_52210004Ewo;;48,77346;9,20715;515219,78;5402293,10;LOD_2;1980;;Original;31001_1010;residential;14,0;none;0,0;RH;7,6;31,7;0,0;31,7;17,4;7,6;30,5;false;29,3;4,2;3,85;2;1,9;1;1;NOT_HEATED;NO_ROOM;0,0;1,536;14,0;1,09;15,8;222,0;134,2;1883;2105;485;352;193;52;7;0;0;0;2;67;279;448;110,9;1556;3;8;38;101;172;316;391;304;168;46;8;2
DEBW_52210004FOx;;48,77197;9,21242;515607,42;5402128,93;LOD_2;1980;;Original;31001_1010;residential;228,5;none;0,0;EFH;85,4;273,9;0,0;282,4;0,0;106,1;734,6;false;714,2;10,2;7,21;4;2,5;1;2;HEATED;NOT_HEATED;0,2;0,645;228,5;0,96;15,8;3620,0;109,4;24997;28617;5639;4476;3042;1095;202;1;0;0;115;1434;3721;5272;28,0;6404;2;5;35;176;525;1560;2166;1443;433;53;5;2
DEBW_52210004FYP;;48,77114;9,20774;515263,94;5402036,32;LOD_2;1980;;Original;31001_2463;garage;201,1;none;0,0;EFH;74,5;240,2;0,0;240,2;34,6;74,5;557,8;false;557,8;7,5;7,49;3;2,5;0;0;NOT_HEATED;NO_ROOM;0,0;0,698;201,1;0,90;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004FSz;;48,77155;9,21134;515528,40;5402082,20;LOD_2;1980;;Original;31001_2463;garage;14,2;none;0,0;RH;17,7;35,0;0,0;38,3;17,2;18,9;59,1;false;44,2;3,9;2,78;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,3;1,267;14,2;0,94;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004FV9;;48,77261;9,21089;515495,05;5402199,59;LOD_2;1980;;Original;31001_1010;residential;11,2;none;0,0;RH;14,0;21,4;0,0;24,4;21,3;14,0;41,6;false;35,0;3,1;2,86;1;2,5;1;1;NOT_HEATED;NOT_HEATED;0,4;1,258;11,2;0,88;15,8;177,0;145,2;1625;1802;418;303;166;44;5;0;0;0;2;58;241;388;118,4;1325;2;7;33;87;148;271;333;258;140;37;6;2
DEBW_52210004FT7;;48,77355;9,20728;515229,30;5402303,85;LOD_2;1980;;Original;31001_1010;residential;431,0;none;0,0;MFH;133,2;363,4;0,0;387,3;56,5;168,7;1427,6;false;1346,7;13,1;8,28;5;2,5;3;7;HEATED;NOT_HEATED;0,6;0,483;431,0;0,97;15,8;6826,0;91,8;39548;46374;8844;7073;4856;1751;321;2;0;0;193;2344;5900;8264;23,5;10145;1;5;38;229;786;2508;3496;2346;665;65;5;2
DEBW_52210004FeC;;48,77480;9,20510;515068,79;5402441,69;LOD_2;1980;;Original;31001_2463;garage;32,2;none;0,0;EFH;40,3;59,9;0,0;59,9;7,0;40,3;100,8;false;100,8;2,5;2,50;1;2,5;0;0;NOT_HEATED;NO_ROOM;0,0;1,395;32,2;0,76;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004Fcy;;48,77130;9,21144;515536,08;5402054,06;LOD_2;1980;;Original;31001_2463;garage;13,3;none;0,0;EFH;16,6;46,0;0,0;48,8;0,0;16,6;47,5;false;41,5;3,1;2,67;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,2;1,727;13,3;0,89;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004Faf;;48,77325;9,20744;515241,76;5402270,49;LOD_2;1980;;Original;31001_1010;residential;203,9;none;0,0;MFH;72,0;296,4;0,0;331,1;0,0;95,8;709,3;false;637,3;11,4;7,85;4;2,6;2;3;HEATED;NOT_HEATED;1,0;0,703;203,9;1,03;15,8;3230,0;121,0;24684;27914;5713;4482;2919;980;166;0;0;0;86;1309;3698;5332;39,8;8107;3;11;70;297;753;1909;2548;1772;635;95;11;3
DEBW_52210004FbO;;48,77155;9,21339;515679,11;5402082,31;LOD_2;1980;;Original;31001_2463;garage;30,3;none;0,0;RH;37,8;42,8;0,0;56,6;25,5;37,8;125,0;false;94,7;3,3;3,30;1;2,5;0;0;NO_ROOM;NOT_HEATED;0,8;1,058;30,3;0,84;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004Fca;;48,77463;9,20758;515251,40;5402424,01;LOD_2;1980;;Original;31001_1010;residential;74,2;none;0,0;EFH;51,8;119,4;0,0;147,8;0,0;63,0;283,6;false;231,8;6,6;3,63;2;2,8;1;2;HEATED;NOT_HEATED;1,0;0,926;74,2;0,92;15,8;1175,0;141,0;10458;11633;2423;1901;1242;418;67;0;0;0;33;553;1566;2255;42,9;3180;1;5;30;122;300;751;1007;682;240;36;4;1
DEBW_52210004FnA;;48,77271;9,21140;515532,49;5402211,09;LOD_2;1980;;Original;31001_1010;residential;211,4;none;0,0;MFH;85,2;226,2;0,0;262,9;0,0;126,0;745,7;false;660,5;11,2;6,95;4;2,5;2;4;HEATED;NOT_HEATED;1,0;0,636;211,4;0,96;15,8;3348,0;108,7;22982;26330;5272;4145;2742;957;168;1;0;0;93;1246;3436;4923;32,8;6938;2;7;48;214;605;1670;2259;1539;513;72;7;2
DEBW_52210004FsC;;48,77367;9,20753;515248,14;5402317,08;LOD_2;1980;;Original;31001_2463;garage;62,3;none;0,0;RH;34,5;59,9;0,0;59,9;89,2;34,5;178,8;false;165,7;5,6;4,81;2;2,4;0;0;NOT_HEATED;NO_ROOM;0,0;0,721;62,3;0,90;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004G0z;;48,77299;9,20758;515251,94;5402241,07;LOD_2;1980;;Original;31001_2463;garage;66,7;none;0,0;RH;29,9;23,5;0,0;23,5;80,1;30,6;167,0;true;149,4;5,3;4,11;2;2,1;0;0;NOT_HEATED;NO_ROOM;0,0;0,503;66,7;0,72;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004G9h;;48,77295;9,20636;515161,82;5402236,79;LOD_2;1980;;Original;31001_2523;transducer, converter;20,4;none;0,0;EFH;12,7;72,4;0,0;86,8;0,0;12,7;76,4;false;63,7;6,0;6,00;2;2,5;0;0;NOT_HEATED;NOT_HEATED;1,0;1,470;20,4;0,99;32,9;670,0;0,0;0;670;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210004G6k;;48,77283;9,20734;515233,86;5402223,54;LOD_2;1980;;Original;31001_1010;residential;349,6;none;0,0;MFH;107,7;339,3;0,0;356,1;45,0;149,6;1141,7;false;1092,5;13,0;7,45;5;2,5;3;10;HEATED;NOT_HEATED;0,5;0,537;349,6;0,99;15,8;5538,0;99,7;34863;40401;7831;6243;4249;1521;281;1;0;0;165;2036;5204;7333;26,2;9146;2;5;42;231;732;2251;3107;2088;615;66;6;2
DEBW_52210004GG6;;48,77133;9,20768;515259,62;5402057,15;LOD_2;1980;;Original;31001_1010;residential;4,8;none;0,0;RH;2,6;17,5;0,0;17,5;8,3;2,6;9,9;false;9,9;3,8;3,83;2;1,9;0;0;NOT_HEATED;NO_ROOM;0,0;2,297;4,8;1,18;15,9;76,0;213,8;1019;1095;253;193;111;29;2;0;0;0;0;40;154;236;135,9;648;1;2;13;40;79;151;177;120;52;11;2;1
