Building ID;Primary Usage;Secondary Usage;Other Usages;Air change rate [vol/h];Building Parent ID
DEBW_52210005gcq;UsageZoneName [name=garden house];UsageZoneName [name=leisure and recreation];No other usages;0,30;DEBW_52210005gcq
DEBW_52210005zsC;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005zsC
DEBW_52210003tQY;UsageZoneName [name=residential];No usage;No other usages;0,40;DEBW_52210003tQY
DEBW_52210003rro;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003rro
DEBW_52210003tI9;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003tI9
DEBW_52210005ypY;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005ypY
DEBW_52210006Jc3;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006Jc3
DEBW_52210004GtY;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210004GtY
DEBW_5221000500F;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_5221000500F
DEBW_52210005hn1;UsageZoneName [name=residential];No usage;No other usages;0,41;DEBW_52210005hn1
DEBW_52210004H2p;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004H2p
DEBW_52210004e9F;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210004e9F
DEBW_52210004FsC;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004FsC
DEBW_52210004HDI;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004HDI
DEBW_52210004ien;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004ien
DEBW_52210005zVK;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210005zVK
DEBW_522100051D8;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_522100051D8
DEBW_522100063Wb;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_522100063Wb
DEBW_52210005KEF;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_52210005KEF
DEBW_52210005JKc;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005JKc
DEBW_52210005kge;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005kge
DEBW_52210005dwJ;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005dwJ
DEBW_52210003uli;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003uli
DEBW_52210003xOe;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210003xOe
DEBW_52210005dKy;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005dKy
