Surface ID;Building ID;Surface Type;Surface Construction Type;Window Ratio;Wall area (without window);Window area;Wall U-Value (without window);Window Construction Type;Window U-Value;Building Parent ID
UUID_262488dd-53fc-4c3c-92cd-afb925cd5e6e;DEBW_522100060yl;WALL;199;0,27;6,92;2,56;0,83;;2,57;DEBW_522100060yl
UUID_a76ff89f-ffe9-4290-a8e8-d1ec584cfffa;DEBW_522100060yl;WALL;199;0,27;6,96;2,57;0,83;;2,57;DEBW_522100060yl
UUID_3d56fb81-1bcb-4908-8681-94c27c422ef1;DEBW_522100060yl;ROOF;226;0,10;8,88;0,99;0,43;;2,57;DEBW_522100060yl
UUID_12ad1a73-d266-4bfe-9ee7-c17af4cda267;DEBW_522100060yl;WALL;199;0,27;7,43;2,75;0,83;;2,57;DEBW_522100060yl
UUID_b33f8f37-9793-419a-9862-5860173fa250;DEBW_522100060yl;WALL;199;0,27;0,87;0,32;0,83;;2,57;DEBW_522100060yl
UUID_edb5aa06-8bbd-4580-a59a-ad7ab59eb12e;DEBW_522100060yl;WALL;199;0,27;7,30;2,70;0,83;;2,57;DEBW_522100060yl
UUID_00ea3345-3f3c-4739-91fc-168dd8edd0a6;DEBW_522100060yl;ROOF;226;0,10;9,17;1,02;0,43;;2,57;DEBW_522100060yl
UUID_3d94ffdb-a97f-471a-b87d-702f08775a64;DEBW_52210006IZ8;WALL;199;0,27;0,00;0,00;0,83;;2,57;DEBW_52210006IZ8
UUID_256bd1a1-6870-4020-8e7b-5f5093b300c7;DEBW_52210006IZ8;WALL;199;0,27;1,64;0,61;0,83;;2,57;DEBW_52210006IZ8
UUID_4c6a624b-7ab3-44b7-8c54-35cd61c460e6;DEBW_52210006IZ8;WALL;199;0,27;0,58;0,22;0,83;;2,57;DEBW_52210006IZ8
UUID_83fc3c0d-9669-41f9-8ea1-a6b642f470f3;DEBW_52210006IZ8;ROOF;226;0,10;25,06;2,78;0,43;;2,57;DEBW_52210006IZ8
UUID_bff3d4a6-27b4-4b87-ae2b-187113fdac64;DEBW_52210006IZ8;WALL;199;0,27;1,23;0,45;0,83;;2,57;DEBW_52210006IZ8
UUID_4196de5c-5bc4-4dde-b1fe-ade19ac4b231;DEBW_52210006IZ8;WALL;199;0,27;3,53;1,31;0,83;;2,57;DEBW_52210006IZ8
UUID_b38de63a-a01e-4c3a-bc89-a79e0fc380b5;DEBW_52210006IZ8;WALL;199;0,27;0,86;0,32;0,83;;2,57;DEBW_52210006IZ8
UUID_f26f16ea-00b7-4f71-9aeb-db7ef740e700;DEBW_52210006IZ8;WALL;199;0,27;10,34;3,83;0,83;;2,57;DEBW_52210006IZ8
UUID_385f774c-a546-4ecd-8b19-0816a5fb98b4;DEBW_52210006IZ8;GROUND;150;0,00;27,84;0,00;0,62;;;DEBW_52210006IZ8
UUID_2a87c2dc-cfdf-41f9-a8e8-b651593ad4f0;DEBW_52210005zo7;ROOF;226;0,10;29,71;3,30;0,43;;2,57;DEBW_52210005zo7
UUID_45704aac-4489-4265-a940-4f41bbb1d56b;DEBW_52210005zo7;WALL;199;0,14;12,67;2,06;0,83;;2,57;DEBW_52210005zo7
UUID_2838ed7d-1fc7-4410-9214-3491233c4497;DEBW_52210005zo7;WALL;199;0,14;1,81;0,30;0,83;;2,57;DEBW_52210005zo7
UUID_bf2adf59-0d0c-4f2b-a04a-c09b358e3e31;DEBW_52210005zo7;GROUND;150;0,00;33,02;0,00;0,62;;;DEBW_52210005zo7
UUID_621ec0ee-bdcd-40f4-ac78-173933ea91ae;DEBW_52210005zo7;WALL;199;0,14;5,80;0,94;0,83;;2,57;DEBW_52210005zo7
UUID_28f582af-ad6f-4633-9096-ccb76323acee;DEBW_52210005zo7;WALL;199;0,14;12,71;2,07;0,83;;2,57;DEBW_52210005zo7
UUID_4d1f01df-c908-43bc-bf68-173a8660d908;DEBW_52210005zo7;WALL;199;0,14;12,02;1,96;0,83;;2,57;DEBW_52210005zo7
UUID_d0dbe4b3-0a33-4341-a55f-2e87172ed56c;DEBW_52210004dLm;WALL;199;0,27;9,67;3,58;0,83;;2,57;DEBW_52210004dLm
UUID_4bb4f4c2-c75f-44f7-b3f1-c70c1f848199;DEBW_52210004dLm;GROUND;150;0,00;19,59;0,00;0,62;;;DEBW_52210004dLm
UUID_f25d7304-07d9-4545-9e27-04124ffcfac0;DEBW_52210004dLm;WALL;199;0,27;1,18;0,44;0,83;;2,57;DEBW_52210004dLm
UUID_ce14e4c4-1272-44d1-a6e3-2c983517351b;DEBW_52210004dLm;WALL;199;0,27;0,00;0,00;0,83;;2,57;DEBW_52210004dLm
UUID_b9fd459a-db54-423c-ba9d-864c1e7c1db8;DEBW_52210004dLm;WALL;199;0,27;1,97;0,73;0,83;;2,57;DEBW_52210004dLm
UUID_31de0238-2146-4fca-bb55-5eb3acd80046;DEBW_52210004dLm;ROOF;100;0,00;19,59;0,00;0,40;;2,57;DEBW_52210004dLm
UUID_859f1903-a8f8-47f4-9994-77923564d741;DEBW_52210004dLm;WALL;199;0,27;9,63;3,56;0,83;;2,57;DEBW_52210004dLm
UUID_e423f4e8-8a90-411a-93fc-6897801f1789;DEBW_52210005g4f;ROOF;226;0,10;53,25;5,92;0,43;;2,57;DEBW_52210005g4f
UUID_5e7bce55-2a4f-4abc-8e65-1fea997a3f60;DEBW_52210005g4f;WALL;199;0,27;0,00;0,00;0,83;;2,57;DEBW_52210005g4f
UUID_580d44f0-549e-453b-98b8-646eac37b306;DEBW_52210005g4f;WALL;199;0,27;1,58;0,58;0,83;;2,57;DEBW_52210005g4f
UUID_280b3310-2dae-43c3-ad1c-eeaf6eba2796;DEBW_52210005g4f;WALL;199;0,27;17,76;6,57;0,83;;2,57;DEBW_52210005g4f
