Surface ID;Building ID;Surface Type;Surface Construction Type;Window Ratio;Wall area (without window);Window area;Wall U-Value (without window);Window Construction Type;Window U-Value;Building Parent ID
UUID_a1ea0864-a4a3-4910-aaaf-85aaccef865d;DEBW_52210005zd7;WALL;199;0,18;56,57;12,42;0,83;;2,57;DEBW_52210005zd7
UUID_5484f5b7-6cce-4814-984b-faeb84dcf7d8;DEBW_52210005zd7;WALL;199;0,18;11,23;2,46;0,83;;2,57;DEBW_52210005zd7
UUID_6432d39b-4e62-4145-aaa0-ced55a3da067;DEBW_52210005zd7;ROOF;226;0,10;24,12;2,68;0,43;;2,57;DEBW_52210005zd7
UUID_193fb833-a6b9-4a67-a147-f247dcb16157;DEBW_52210005zd7;ROOF;226;0,10;41,69;4,63;0,43;;2,57;DEBW_52210005zd7
UUID_33985350-e0a0-4a8a-9437-5f5448a04f84;DEBW_52210005zd7;WALL;199;0,18;63,72;13,99;0,83;;2,57;DEBW_52210005zd7
UUID_07e7ff2f-a07e-443a-b4be-8f4933f65626;DEBW_52210005zd7;ROOF;226;0,10;1,19;0,13;0,43;;2,57;DEBW_52210005zd7
UUID_1f4a66ac-5f0c-45d7-8d63-9380f266cf3f;DEBW_52210005zd7;WALL;199;0,18;1,96;0,43;0,83;;2,57;DEBW_52210005zd7
UUID_8faa2074-b2a1-4e4e-8266-8b12a0b859ba;DEBW_52210005zd7;GROUND;150;0,00;84,53;0,00;0,62;;;DEBW_52210005zd7
UUID_bf8f4761-ab7f-4ebe-91eb-1cc5f40f2581;DEBW_52210005zd7;WALL;199;0,18;11,21;2,46;0,83;;2,57;DEBW_52210005zd7
UUID_26e3ba46-ab63-443c-925a-c382a926df61;DEBW_52210005zd7;WALL;199;0,18;62,02;13,61;0,83;;2,57;DEBW_52210005zd7
UUID_ecd27f00-58a7-4cb0-adb4-7db450380e4c;DEBW_52210005zd7;WALL;199;0,18;0,90;0,20;0,83;;2,57;DEBW_52210005zd7
UUID_935f4674-4784-4fed-8c11-74c912195e4c;DEBW_52210005fzd;ROOF;226;0,10;10,95;1,22;0,43;;2,57;DEBW_52210005fzd
UUID_0ecdb283-162a-4dd4-86c9-820da427a035;DEBW_52210005fzd;WALL;199;0,27;16,76;6,20;0,83;;2,57;DEBW_52210005fzd
UUID_927bbec5-3b50-45cb-9877-5802c84b3e5f;DEBW_52210005fzd;WALL;199;0,27;30,17;11,16;0,83;;2,57;DEBW_52210005fzd
UUID_80480fa3-ef46-4aa8-9a42-93849e1f00b6;DEBW_52210005fzd;WALL;199;0,27;0,24;0,09;0,83;;2,57;DEBW_52210005fzd
UUID_92d3862a-9d57-41f0-a471-e603df41a4e2;DEBW_52210005fzd;WALL;199;0,27;16,88;6,24;0,83;;2,57;DEBW_52210005fzd
UUID_3124a5da-4745-411d-89a4-75c128e453ba;DEBW_52210005fzd;GROUND;150;0,00;12,14;0,00;0,62;;;DEBW_52210005fzd
UUID_2969e651-a820-4545-ab05-5ccbea00e8ca;DEBW_52210004FOx;ROOF;226;0,10;40,24;4,47;0,43;;2,57;DEBW_52210004FOx
UUID_911949e9-7c22-4cd8-bda6-6140e0bc84aa;DEBW_52210004FOx;WALL;199;0,14;0,22;0,04;0,83;;2,57;DEBW_52210004FOx
UUID_47dad187-19bd-4d99-8c8d-f400f6036835;DEBW_52210004FOx;WALL;199;0,14;62,44;10,16;0,83;;2,57;DEBW_52210004FOx
UUID_6edd70b7-e1b7-43d4-ac98-a67896832c7d;DEBW_52210004FOx;WALL;199;0,14;0,71;0,12;0,83;;2,57;DEBW_52210004FOx
UUID_4575181d-4317-4171-8994-58cf58c88718;DEBW_52210004FOx;WALL;199;0,14;52,81;8,60;0,83;;2,57;DEBW_52210004FOx
