Building ID,usage_type,annual_heat_kwh,compactness,window_to_heated
DEBW_52210004zCV,residential,5143.55363605231,0.8695652173913044,0.384351145038168
DEBW_52210005gwl,residential,7710.358360793594,1.1210762331838564,0.48907721280602634
DEBW_52210004dF4,residential,14708.464474396244,1.4814814814814814,0.3903579254930607
DEBW_5221000629z,residential,15311.2357449633,1.148105625717566,0.4525161290322581
DEBW_522100051Hd,residential,16124.219473018142,2.9154518950437316,0.1156862745098039
DEBW_52210005enf,residential,55858.40317257047,2.8985507246376816,0.14418335455492534
DEBW_52210004H20,residential,80675.56731446972,2.34192037470726,0.1618817464153375
DEBW_52210006IxM,residential,92768.11514572387,2.680965147453083,0.15493528658796757
DEBW_52210005KEF,residential,123751.74704539598,2.824858757062147,0.13777799453765116
DEBW_522100063eT,residential,147646.2229469207,2.949852507374631,0.0924253992492206
