thermal_class_index,thermal_class,rc_building_id,simstadt_building_id,simstadt_building_id_normalized,match_type,in_common_cohort
02,leicht,DEBW_52210004HiD,DEBW_52210004HiD,debw_52210004hid,exact,True
02,leicht,DEBW_52210004Hls,DEBW_52210004Hls,debw_52210004hls,exact,True
02,leicht,DEBW_52210004HpC,DEBW_52210004HpC,debw_52210004hpc,exact,True
02,leicht,DEBW_52210004HrR,DEBW_52210004HrR,debw_52210004hrr,exact,True
02,leicht,DEBW_52210004HxR,DEBW_52210004HxR,debw_52210004hxr,exact,True
02,leicht,DEBW_52210004Hxc,DEBW_52210004Hxc,debw_52210004hxc,exact,True
02,leicht,DEBW_52210004I04,DEBW_52210004I04,debw_52210004i04,exact,True
02,leicht,DEBW_52210004IZi,DEBW_52210004IZi,debw_52210004izi,exact,True
02,leicht,DEBW_52210004Ihn,DEBW_52210004Ihn,debw_52210004ihn,exact,True
02,leicht,DEBW_52210004IuQ,DEBW_52210004IuQ,debw_52210004iuq,exact,True
02,leicht,DEBW_52210004KwN,DEBW_52210004KwN,debw_52210004kwn,exact,True
02,leicht,DEBW_52210004L5J,DEBW_52210004L5J,debw_52210004l5j,exact,True
02,leicht,DEBW_52210004L7q,DEBW_52210004L7q,debw_52210004l7q,exact,True
02,leicht,DEBW_52210004Lja,DEBW_52210004Lja,debw_52210004lja,exact,True
02,leicht,DEBW_52210004bgQ,DEBW_52210004bgQ,debw_52210004bgq,exact,True
02,leicht,DEBW_52210004cUQ,DEBW_52210004cUQ,debw_52210004cuq,exact,True
02,leicht,DEBW_52210004caM,DEBW_52210004caM,debw_52210004cam,exact,True
02,leicht,DEBW_52210004d3g,DEBW_52210004d3g,debw_52210004d3g,exact,True
02,leicht,DEBW_52210004dF4,DEBW_52210004dF4,debw_52210004df4,exact,True
02,leicht,DEBW_52210004dGw,DEBW_52210004dGw,debw_52210004dgw,exact,True
02,leicht,DEBW_52210004dNl,DEBW_52210004dNl,debw_52210004dnl,exact,True
02,leicht,DEBW_52210004dQ2,DEBW_52210004dQ2,debw_52210004dq2,exact,True
02,leicht,DEBW_52210004dQC,DEBW_52210004dQC,debw_52210004dqc,exact,True
02,leicht,DEBW_52210004dvl,DEBW_52210004dvl,debw_52210004dvl,exact,True
02,leicht,DEBW_52210004e9F,DEBW_52210004e9F,debw_52210004e9f,exact,True
02,leicht,DEBW_52210004eFK,DEBW_52210004eFK,debw_52210004efk,exact,True
02,leicht,DEBW_52210004edl,DEBW_52210004edl,debw_52210004edl,exact,True
02,leicht,DEBW_52210004evV,DEBW_52210004evV,debw_52210004evv,exact,True
02,leicht,DEBW_52210004ewN,DEBW_52210004ewN,debw_52210004ewn,exact,True
02,leicht,DEBW_52210004f3W,DEBW_52210004f3W,debw_52210004f3w,exact,True
02,leicht,DEBW_52210004fK1,DEBW_52210004fK1,debw_52210004fk1,exact,True
02,leicht,DEBW_52210004fgD,DEBW_52210004fgD,debw_52210004fgd,exact,True
02,leicht,DEBW_52210004xfl,DEBW_52210004xfl,debw_52210004xfl,exact,True
02,leicht,DEBW_52210004xqq,DEBW_52210004xqq,debw_52210004xqq,exact,True
02,leicht,DEBW_52210004xrI,DEBW_52210004xrI,debw_52210004xri,exact,True
02,leicht,DEBW_52210004xsG,DEBW_52210004xsG,debw_52210004xsg,exact,True
02,leicht,DEBW_52210004xx4,DEBW_52210004xx4,debw_52210004xx4,exact,True
02,leicht,DEBW_52210004y9B,DEBW_52210004y9B,debw_52210004y9b,exact,True
02,leicht,DEBW_52210004yBG,DEBW_52210004yBG,debw_52210004ybg,exact,True
02,leicht,DEBW_52210004ylt,DEBW_52210004ylt,debw_52210004ylt,exact,True
02,leicht,DEBW_52210004yr8,DEBW_52210004yr8,debw_52210004yr8,exact,True
02,leicht,DEBW_52210004zAp,DEBW_52210004zAp,debw_52210004zap,exact,True
02,leicht,DEBW_52210004zCV,DEBW_52210004zCV,debw_52210004zcv,exact,True
02,leicht,DEBW_52210004zDV,DEBW_52210004zDV,debw_52210004zdv,exact,True
02,leicht,DEBW_52210004zE4,DEBW_52210004zE4,debw_52210004ze4,exact,True
02,leicht,DEBW_52210004zH7,DEBW_52210004zH7,debw_52210004zh7,exact,True
02,leicht,DEBW_52210004zVF,DEBW_52210004zVF,debw_52210004zvf,exact,True
02,leicht,DEBW_52210004zyP,DEBW_52210004zyP,debw_52210004zyp,exact,True
02,leicht,DEBW_522100050H1,DEBW_522100050H1,debw_522100050h1,exact,True
02,leicht,DEBW_522100050Oj,DEBW_522100050Oj,debw_522100050oj,exact,True
02,leicht,DEBW_522100050uW,DEBW_522100050uW,debw_522100050uw,exact,True
02,leicht,DEBW_522100050wu,DEBW_522100050wu,debw_522100050wu,exact,True
02,leicht,DEBW_522100050y5,DEBW_522100050y5,debw_522100050y5,exact,True
02,leicht,DEBW_5221000518C,DEBW_5221000518C,debw_5221000518c,exact,True
02,leicht,DEBW_522100051DN,DEBW_522100051DN,debw_522100051dn,exact,True
02,leicht,DEBW_522100051Hd,DEBW_522100051Hd,debw_522100051hd,exact,True
02,leicht,DEBW_522100053Xz,DEBW_522100053Xz,debw_522100053xz,exact,True
02,leicht,DEBW_522100054BV,DEBW_522100054BV,debw_522100054bv,exact,True
02,leicht,DEBW_522100054Ih,DEBW_522100054Ih,debw_522100054ih,exact,True
02,leicht,DEBW_52210005J24,DEBW_52210005J24,debw_52210005j24,exact,True
02,leicht,DEBW_52210005JLO,DEBW_52210005JLO,debw_52210005jlo,exact,True
02,leicht,DEBW_52210005JMk,DEBW_52210005JMk,debw_52210005jmk,exact,True
