rc_building_id,simstadt_building_id,match_type
DEBW_52210005N87,DEBW_52210005N87,exact
DEBW_52210005PFV,DEBW_52210005PFV,exact
DEBW_52210005PRs,DEBW_52210005PRs,exact
DEBW_52210005Q4u,DEBW_52210005Q4u,exact
DEBW_52210005dgg,DEBW_52210005dgg,exact
DEBW_52210005diH,DEBW_52210005diH,exact
DEBW_52210005djN,DEBW_52210005djN,exact
DEBW_52210005dnU,DEBW_52210005dnU,exact
DEBW_52210005doZ,DEBW_52210005doZ,exact
DEBW_52210005eg5,DEBW_52210005eg5,exact
DEBW_52210005ej5,DEBW_52210005ej5,exact
DEBW_52210005elC,DEBW_52210005elC,exact
DEBW_52210005ela,DEBW_52210005ela,exact
DEBW_52210005ely,DEBW_52210005ely,exact
DEBW_52210005em7,DEBW_52210005em7,exact
DEBW_52210005enf,DEBW_52210005enf,exact
DEBW_52210005evc,DEBW_52210005evc,exact
DEBW_52210005fBS,DEBW_52210005fBS,exact
DEBW_52210005fRL,DEBW_52210005fRL,exact
DEBW_52210005fRo,DEBW_52210005fRo,exact
DEBW_52210005fiS,DEBW_52210005fiS,exact
DEBW_52210005g5H,DEBW_52210005g5H,exact
DEBW_52210005gBZ,DEBW_52210005gBZ,exact
DEBW_52210005gOD,DEBW_52210005gOD,exact
DEBW_52210005gvh,DEBW_52210005gvh,exact
DEBW_52210005gwl,DEBW_52210005gwl,exact
DEBW_52210005gxN,DEBW_52210005gxN,exact
DEBW_52210005hG5,DEBW_52210005hG5,exact
DEBW_52210005hJf,DEBW_52210005hJf,exact
DEBW_52210005jPg,DEBW_52210005jPg,exact
DEBW_52210005k39,DEBW_52210005k39,exact
DEBW_52210005k3y,DEBW_52210005k3y,exact
DEBW_52210005xLD,DEBW_52210005xLD,exact
DEBW_52210005xM5,DEBW_52210005xM5,exact
DEBW_52210005xO2,DEBW_52210005xO2,exact
DEBW_52210005xRe,DEBW_52210005xRe,exact
DEBW_52210005xix,DEBW_52210005xix,exact
DEBW_52210005xzK,DEBW_52210005xzK,exact
DEBW_52210005y1r,DEBW_52210005y1r,exact
DEBW_52210005y86,DEBW_52210005y86,exact
DEBW_52210005yG0,DEBW_52210005yG0,exact
DEBW_52210005yIg,DEBW_52210005yIg,exact
DEBW_52210005yi4,DEBW_52210005yi4,exact
DEBW_52210005yjZ,DEBW_52210005yjZ,exact
DEBW_52210005ylp,DEBW_52210005ylp,exact
DEBW_52210005ynV,DEBW_52210005ynV,exact
DEBW_52210005yqw,DEBW_52210005yqw,exact
DEBW_52210005yrw,DEBW_52210005yrw,exact
DEBW_52210005zVK,DEBW_52210005zVK,exact
DEBW_52210005zd7,DEBW_52210005zd7,exact
DEBW_52210005zmV,DEBW_52210005zmV,exact
DEBW_522100060Iy,DEBW_522100060Iy,exact
DEBW_522100060Oq,DEBW_522100060Oq,exact
DEBW_522100060XU,DEBW_522100060XU,exact
DEBW_522100060Xf,DEBW_522100060Xf,exact
DEBW_522100060Xq,DEBW_522100060Xq,exact
DEBW_522100060vu,DEBW_522100060vu,exact
DEBW_5221000619W,DEBW_5221000619W,exact
DEBW_5221000629z,DEBW_5221000629z,exact
DEBW_522100063eT,DEBW_522100063eT,exact
DEBW_5221000647b,DEBW_5221000647b,exact
DEBW_522100064GG,DEBW_522100064GG,exact
DEBW_52210006GkA,DEBW_52210006GkA,exact
DEBW_52210006HCZ,DEBW_52210006HCZ,exact
DEBW_52210006HXy,DEBW_52210006HXy,exact
DEBW_52210006Hkl,DEBW_52210006Hkl,exact
DEBW_52210006Hwg,DEBW_52210006Hwg,exact
DEBW_52210006I2P,DEBW_52210006I2P,exact
DEBW_52210006I2R,DEBW_52210006I2R,exact
DEBW_52210006Id7,DEBW_52210006Id7,exact
DEBW_52210006IeR,DEBW_52210006IeR,exact
DEBW_52210006InL,DEBW_52210006InL,exact
DEBW_52210006Iok,DEBW_52210006Iok,exact
DEBW_52210006Isp,DEBW_52210006Isp,exact
DEBW_52210006IxM,DEBW_52210006IxM,exact
DEBW_52210006J1X,DEBW_52210006J1X,exact
DEBW_52210006J9b,DEBW_52210006J9b,exact
DEBW_52210006JsB,DEBW_52210006JsB,exact
DEBW_52210006KHx,DEBW_52210006KHx,exact
DEBW_52210006KZK,DEBW_52210006KZK,exact
DEBW_52210006KbP,DEBW_52210006KbP,exact
DEBW_52210006KcE,DEBW_52210006KcE,exact
DEBW_52210006Krt,DEBW_52210006Krt,exact
DEBW_52210006NMW,DEBW_52210006NMW,exact
DEBW_52210006NNm,DEBW_52210006NNm,exact
DEBW_5221Us0004K,DEBW_5221Us0004K,exact
DEBW_522Ue00002q,DEBW_522Ue00002q,exact
