HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
39,585513.777410993,585513.777410993,0.0,0.0,20.0,-1.39,472766.117646926,,585.513777410993,0.0,7.910648622944436,-0.0,ALL_BUILDINGS
40,647319.4612537951,647319.4612537951,0.0,0.0,20.0,-1.89,77745.6579667886,,647.3194612537951,0.0,8.745681147615514,-0.0,ALL_BUILDINGS
41,748063.2365421925,748063.2365421925,0.0,0.0,20.0,-2.86,80820.39813713013,,748.0632365421925,0.0,10.10679106167989,-0.0,ALL_BUILDINGS
42,853744.3987680017,853744.3987680017,0.0,0.0,20.0,-3.89,0.0,,853.7443987680017,0.0,11.5346080878298,-0.0,ALL_BUILDINGS
43,917453.4306098562,917453.4306098562,0.0,0.0,20.0,-4.07,0.0,,917.4534306098561,0.0,12.395356006072427,-0.0,ALL_BUILDINGS
44,960725.7801897778,960725.7801897778,0.0,0.0,20.0,-4.15,0.0,,960.7257801897779,0.0,12.979991869176459,-0.0,ALL_BUILDINGS
45,1001241.7847110962,1001241.7847110962,0.0,0.0,20.0,-4.46,0.0,,1001.2417847110962,0.0,13.527387827630228,-0.0,ALL_BUILDINGS
46,1024431.3936142519,1024431.3936142519,0.0,0.0,20.0,-4.51,0.0,,1024.4313936142519,0.0,13.840693602513134,-0.0,ALL_BUILDINGS
47,1042224.4070195394,1042224.4070195394,0.0,0.0,20.0,-4.58,0.0,,1042.2244070195393,0.0,14.081088077285278,-0.0,ALL_BUILDINGS
48,1053452.2553192377,1053452.2553192377,0.0,0.0,20.0,-4.59,0.0,,1053.4522553192378,0.0,14.232783163066825,-0.0,ALL_BUILDINGS
49,1060673.0135534538,1060673.0135534538,0.0,0.0,20.0,-4.58,0.0,,1060.6730135534538,0.0,14.330340015502804,-0.0,ALL_BUILDINGS
50,1063575.4530829806,1063575.4530829806,0.0,0.0,20.0,-4.52,0.0,,1063.5754530829806,0.0,14.36955374565439,-0.0,ALL_BUILDINGS
51,1073705.1480682495,1073705.1480682495,0.0,0.0,20.0,-4.69,0.0,,1073.7051480682494,0.0,14.5064121096717,-0.0,ALL_BUILDINGS
52,1096763.6463723453,1096763.6463723453,0.0,0.0,20.0,-5.19,0.0,,1096.7636463723452,0.0,14.817946500310681,-0.0,ALL_BUILDINGS
