Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210005xRe,DEBW_52210005xRe,very heavy,5,370000,6553.418406681778,7463.3192106605275,876.996007737269,76.6,4.2,residential
DEBW_52210005xix,DEBW_52210005xix,very heavy,5,370000,17207.248102681577,21432.402940230844,2100.425191967612,202.1,4.2,residential
DEBW_52210005xzK,DEBW_52210005xzK,very heavy,5,370000,14148.283499912468,20252.829429434285,1684.6895042613367,230.0,4.2,residential
DEBW_52210005y1r,DEBW_52210005y1r,very heavy,5,370000,25639.926644115283,32988.09743998004,3143.854872026863,356.9,4.2,residential
DEBW_52210005y86,DEBW_52210005y86,very heavy,5,370000,20934.17070288029,25526.60446362015,2719.7631467064407,283.8,4.2,residential
DEBW_52210005yG0,DEBW_52210005yG0,very heavy,5,370000,28415.90044563682,36415.49932346411,3551.9630802665897,423.5,4.2,residential
DEBW_52210005yIg,DEBW_52210005yIg,very heavy,5,370000,16768.529353380207,23429.914959147074,2314.7860946343685,309.5,4.2,residential
DEBW_52210005yi4,DEBW_52210005yi4,very heavy,5,370000,7712.561685026061,10084.767335035895,1271.9676336394703,136.3,4.2,residential
DEBW_52210005yjZ,DEBW_52210005yjZ,very heavy,5,370000,26955.928096568103,33209.82272418282,3793.3000365985263,423.5,4.2,residential
DEBW_52210005ylp,DEBW_52210005ylp,very heavy,5,370000,18998.381738112108,26853.188109432227,2669.8845914668987,386.7,4.2,residential
DEBW_52210005ynV,DEBW_52210005ynV,very heavy,5,370000,7915.426811572833,6533.787553433618,1597.3379974107145,84.6,4.2,residential
DEBW_52210005yqw,DEBW_52210005yqw,very heavy,5,370000,28192.088818386743,34117.15582689723,3898.175448716905,419.1,4.2,residential
DEBW_52210005yrw,DEBW_52210005yrw,very heavy,5,370000,35521.60509769827,45589.851255252936,4866.15178321539,605.2,4.2,residential
DEBW_52210005zVK,DEBW_52210005zVK,very heavy,5,370000,20846.107500015078,20512.38385966144,3723.8017684087567,299.3,4.2,residential
DEBW_52210005zd7,DEBW_52210005zd7,very heavy,5,370000,17737.67711805773,21542.11966824884,2879.3460749300066,338.7,4.2,residential
DEBW_52210005zmV,DEBW_52210005zmV,very heavy,5,370000,25640.966878771498,34211.70951596865,4402.207321662339,641.1,4.2,residential
DEBW_522100060Iy,DEBW_522100060Iy,very heavy,5,370000,23936.88230154787,29816.074940753104,3390.827940172343,385.1,4.2,residential
DEBW_522100060Oq,DEBW_522100060Oq,very heavy,5,370000,14895.611736992169,21163.03597584295,1951.8914662110633,294.6,4.2,residential
DEBW_522100060XU,DEBW_522100060XU,very heavy,5,370000,12522.407143139517,17291.697156222675,1414.293353671743,169.3,4.2,residential
DEBW_522100060Xf,DEBW_522100060Xf,very heavy,5,370000,28341.129416056876,34733.331733993764,4210.164592382758,482.1,4.2,residential
DEBW_522100060Xq,DEBW_522100060Xq,very heavy,5,370000,12793.400114314292,18284.811055621594,1343.1088529703763,167.8,4.2,residential
DEBW_522100060vu,DEBW_522100060vu,very heavy,5,370000,16600.958201040346,20962.729380538232,2413.4945146462574,297.7,4.2,residential
DEBW_5221000619W,DEBW_5221000619W,very heavy,5,370000,16336.898759811149,21872.803449881252,2402.670079881669,304.2,4.2,residential
DEBW_5221000629z,DEBW_5221000629z,very heavy,5,370000,12183.940818475548,13602.849881124288,1726.0633208674328,77.5,4.2,residential
DEBW_522100063eT,DEBW_522100063eT,very heavy,5,370000,71462.38459352538,134168.44665326783,11301.99820703733,3143.4,4.2,residential
DEBW_5221000647b,DEBW_5221000647b,very heavy,5,370000,22576.548909116173,27384.41098099386,3215.656922622051,334.4,4.2,residential
DEBW_522100064GG,DEBW_522100064GG,very heavy,5,370000,26260.041981186885,31987.582847688056,3435.424936449998,350.2,4.2,residential
DEBW_52210006GkA,DEBW_52210006GkA,very heavy,5,370000,22062.182137326578,27838.89556444665,3078.4215684232636,360.6,4.2,residential
