HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
1,0.0,0.0,0.0,0.0,18.906866559425616,0.22999999999999998,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
2,0.0,0.0,0.0,0.0,18.531564393729173,-0.19,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
3,0.0,0.0,0.0,0.0,18.125045942519737,-1.03,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
4,0.0,0.0,0.0,0.0,17.789939485682094,-0.73,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
5,278.3434005020827,278.3434005020827,0.0,0.0,17.431546405130213,-1.0,0.0,,0.2783434005020827,0.0,0.003760589285573542,-0.0,ALL_BUILDINGS
6,862.8470558665613,862.8470558665613,0.0,0.0,17.092272591184194,-1.07,0.0,,0.8628470558665613,0.0,0.01165759054293147,-0.0,ALL_BUILDINGS
7,1857.3352557304281,1857.3352557304281,0.0,0.0,16.79464424798527,-0.72,0.0,,1.8573352557304281,0.0,0.02509373331582036,-0.0,ALL_BUILDINGS
8,1807632.3757589408,1807632.3757589408,0.0,0.0,20.0,-0.57,0.0,,1807.6323757589407,0.0,24.42221706091449,-0.0,ALL_BUILDINGS
9,1590512.452270902,1590512.452270902,0.0,0.0,20.0,-0.71,0.0,,1590.512452270902,0.0,21.488794330284467,-0.0,ALL_BUILDINGS
10,1344377.2730475403,1344377.2730475403,0.0,0.0,20.0,0.49,166631.6058432537,,1344.3772730475403,0.0,18.16335777917367,-0.0,ALL_BUILDINGS
11,1150676.1040215103,1150676.1040215103,0.0,0.0,20.0,0.41,345625.0501461855,,1150.6761040215104,0.0,15.546336719833311,-0.0,ALL_BUILDINGS
12,910222.5220825032,910222.5220825032,0.0,0.0,20.0,1.55,557715.9109554808,,910.2225220825031,0.0,12.297662016978828,-0.0,ALL_BUILDINGS
13,714845.1858163085,714845.1858163085,0.0,0.0,20.0,2.11,611656.7484363131,,714.8451858163085,0.0,9.657994914826524,-0.0,ALL_BUILDINGS
14,578407.7793274521,578407.7793274521,0.0,0.0,20.0,2.0,628175.7426309848,,578.4077793274521,0.0,7.814642250211807,-0.0,ALL_BUILDINGS
15,502077.7415703811,502077.7415703811,0.0,0.0,20.0,2.05,440801.27311629266,,502.0777415703811,0.0,6.783376836198454,-0.0,ALL_BUILDINGS
16,490497.07679474243,490497.07679474243,0.0,0.0,20.0,1.52,343622.48508074466,,490.49707679474244,0.0,6.626914984412031,-0.0,ALL_BUILDINGS
17,554976.1307697695,554976.1307697695,0.0,0.0,20.0,0.36,132983.3395830368,,554.9761307697695,0.0,7.4980663718169955,-0.0,ALL_BUILDINGS
18,668513.828266694,668513.828266694,0.0,0.0,20.0,-1.22,0.0,,668.513828266694,0.0,9.03202998635015,-0.0,ALL_BUILDINGS
19,774987.3271894979,774987.3271894979,0.0,0.0,20.0,-2.63,0.0,,774.9873271894979,0.0,10.470551965043969,-0.0,ALL_BUILDINGS
20,834892.9331209162,834892.9331209162,0.0,0.0,20.0,-3.01,0.0,,834.8929331209163,0.0,11.279913277024482,-0.0,ALL_BUILDINGS
21,879877.1587487865,879877.1587487865,0.0,0.0,20.0,-3.24,0.0,,879.8771587487865,0.0,11.887677630735919,-0.0,ALL_BUILDINGS
22,937166.766277768,937166.766277768,0.0,0.0,20.0,-3.98,0.0,,937.1667662777679,0.0,12.661695207080749,-0.0,ALL_BUILDINGS
23,982996.238940514,982996.238940514,0.0,0.0,20.0,-4.52,0.0,,982.996238940514,0.0,13.280879364305697,-0.0,ALL_BUILDINGS
24,1039210.2310419789,1039210.2310419789,0.0,0.0,20.0,-5.42,0.0,,1039.210231041979,0.0,14.040364719499175,-0.0,ALL_BUILDINGS
25,0.0,0.0,0.0,0.0,17.920874050157312,-6.22,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
26,0.0,0.0,0.0,0.0,17.484950448127147,-5.56,0.0,,0.0,0.0,0.0,-0.0,ALL_BUILDINGS
27,585.2988417615593,585.2988417615593,0.0,0.0,17.021110041110592,-5.72,0.0,,0.5852988417615593,0.0,0.007907744711089905,-0.0,ALL_BUILDINGS
28,3298.4025074935817,3298.4025074935817,0.0,0.0,16.586577864881342,-5.73,0.0,,3.2984025074935817,0.0,0.04456343174228216,-0.0,ALL_BUILDINGS
