Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210005doZ,DEBW_52210005doZ,heavy,4,260000,14428.44866761456,7597.304779088226,6296.689260527704,324.2,4.2,residential
DEBW_52210005eg5,DEBW_52210005eg5,heavy,4,260000,14101.269813174322,7439.913194575606,6098.733484199852,310.4,4.2,residential
DEBW_52210005ej5,DEBW_52210005ej5,heavy,4,260000,15081.007482978006,8468.64886515658,6443.22896533819,348.9,4.2,residential
DEBW_52210005elC,DEBW_52210005elC,heavy,4,260000,14139.588552284766,8684.072773073074,5945.260471085485,355.5,4.2,residential
DEBW_52210005ela,DEBW_52210005ela,heavy,4,260000,14751.747597955464,7905.294298554049,6168.802025493592,301.5,4.2,residential
DEBW_52210005ely,DEBW_52210005ely,heavy,4,260000,6756.110131310204,3803.1225060147403,2532.133737053115,99.3,4.2,residential
DEBW_52210005em7,DEBW_52210005em7,heavy,4,260000,27905.8278297816,18390.520329149895,12248.96478896276,831.7,4.2,residential
DEBW_52210005enf,DEBW_52210005enf,heavy,4,260000,23321.238032775123,17095.37632288988,10817.143622172529,863.9,4.2,residential
DEBW_52210005evc,DEBW_52210005evc,heavy,4,260000,16058.473931887986,9077.025904573973,7144.927117727586,411.7,4.2,residential
DEBW_52210005fBS,DEBW_52210005fBS,heavy,4,260000,13643.465227410637,6146.462443458723,6920.398075947807,363.3,4.2,residential
DEBW_52210005fRL,DEBW_52210005fRL,heavy,4,260000,9384.622189241894,6255.087710106018,3643.819872005887,215.2,4.2,residential
DEBW_52210005fRo,DEBW_52210005fRo,heavy,4,260000,12874.534183013624,7060.492719375333,5839.120466385907,325.1,4.2,residential
DEBW_52210005fiS,DEBW_52210005fiS,heavy,4,260000,8925.261182590319,5694.4109283159405,3577.8474403117293,208.6,4.2,residential
DEBW_52210005g5H,DEBW_52210005g5H,heavy,4,260000,4238.491700184321,1884.0329128200276,1994.9955382073613,85.5,4.2,residential
DEBW_52210005gBZ,DEBW_52210005gBZ,heavy,4,260000,12060.155887816709,6457.548447711362,4937.494881068116,233.5,4.2,residential
DEBW_52210005gOD,DEBW_52210005gOD,heavy,4,260000,16728.440501091743,8737.805193329872,7364.730585914689,378.2,4.2,residential
DEBW_52210005gvh,DEBW_52210005gvh,heavy,4,260000,10408.547195274341,7532.835936292583,4499.191434522228,335.5,4.2,residential
DEBW_52210005gwl,DEBW_52210005gwl,heavy,4,260000,4904.7215249775245,1759.7009705058472,2044.1558259688786,53.1,4.2,residential
DEBW_52210005gxN,DEBW_52210005gxN,heavy,4,260000,8874.602665322378,4690.564322587018,3878.896379290049,194.3,4.2,residential
DEBW_52210005hG5,DEBW_52210005hG5,heavy,4,260000,11125.009704288965,8080.169881597847,4573.846729747479,324.7,4.2,residential
DEBW_52210005hJf,DEBW_52210005hJf,heavy,4,260000,12258.67663281014,5892.940845634511,4901.790631776561,181.4,4.2,residential
DEBW_52210005jPg,DEBW_52210005jPg,heavy,4,260000,14868.712930306663,8573.100616021167,6193.742716745697,333.6,4.2,residential
DEBW_52210005k39,DEBW_52210005k39,heavy,4,260000,17752.464254941147,10153.246596340821,8379.591504557562,525.2,4.2,residential
DEBW_52210005k3y,DEBW_52210005k3y,heavy,4,260000,13367.134025402514,7991.887142573613,5649.218722346756,326.4,4.2,residential
DEBW_52210005xLD,DEBW_52210005xLD,heavy,4,260000,14262.418495270957,7231.347499796335,6269.618195073755,317.3,4.2,residential
DEBW_52210005xM5,DEBW_52210005xM5,heavy,4,260000,17064.18848841718,8961.950081122346,7442.876835391679,380.5,4.2,residential
DEBW_52210005xO2,DEBW_52210005xO2,heavy,4,260000,8900.729189845184,5202.9615775086995,3854.233702717014,223.3,4.2,residential
DEBW_52210005xRe,DEBW_52210005xRe,heavy,4,260000,4311.459478080117,2191.190313669712,1703.5016947447393,76.6,4.2,residential
DEBW_52210005xix,DEBW_52210005xix,heavy,4,260000,11320.557962290508,6175.872437931784,4478.715856067727,202.1,4.2,residential
DEBW_52210005xzK,DEBW_52210005xzK,heavy,4,260000,9308.081249942414,5969.628969908659,3824.3565570453784,230.0,4.2,residential
DEBW_52210005y1r,DEBW_52210005y1r,heavy,4,260000,16868.372792181108,9958.67648355981,6728.325559240455,356.9,4.2,residential
DEBW_52210005y86,DEBW_52210005y86,heavy,4,260000,13772.480725579137,7083.973528614619,5872.204927200659,283.8,4.2,residential
DEBW_52210005yG0,DEBW_52210005yG0,heavy,4,260000,18694.671345813695,10815.884375345962,7694.952255069138,423.5,4.2,residential
DEBW_52210005yIg,DEBW_52210005yIg,heavy,4,260000,11031.927206171189,7846.7546086391285,4567.946468705718,309.5,4.2,residential
DEBW_52210005yi4,DEBW_52210005yi4,heavy,4,260000,5074.0537401487245,3256.725199936683,2280.33908795547,136.3,4.2,residential
DEBW_52210005yjZ,DEBW_52210005yjZ,heavy,4,260000,17734.16322142639,9881.626259875567,7760.678752364316,423.5,4.2,residential
DEBW_52210005ylp,DEBW_52210005ylp,heavy,4,260000,12498.935354021127,8886.610926433286,5378.949440151153,386.7,4.2,residential
DEBW_52210005ynV,DEBW_52210005ynV,heavy,4,260000,5207.517639192653,1782.048908199793,2547.258791269376,84.6,4.2,residential
DEBW_52210005yqw,DEBW_52210005yqw,heavy,4,260000,18547.426854201804,9528.842842130342,8230.399707213712,419.1,4.2,residential
DEBW_52210005yrw,DEBW_52210005yrw,heavy,4,260000,23369.477037959383,14721.823928729898,9773.662734699485,605.2,4.2,residential
DEBW_52210005zVK,DEBW_52210005zVK,heavy,4,260000,13714.544407904657,5698.907705971927,6693.277035382411,299.3,4.2,residential
DEBW_52210005zd7,DEBW_52210005zd7,heavy,4,260000,11669.524419774825,6512.088869380806,5539.507605873331,338.7,4.2,residential
DEBW_52210005zmV,DEBW_52210005zmV,heavy,4,260000,16869.057157086514,8850.287112080283,9554.376682800365,641.1,4.2,residential
DEBW_522100060Iy,DEBW_522100060Iy,heavy,4,260000,15747.948882597284,8415.777486842153,7106.823020801851,385.1,4.2,residential
DEBW_522100060Oq,DEBW_522100060Oq,heavy,4,260000,9799.744563810638,6143.184670883341,4444.038959350188,294.6,4.2,residential
DEBW_522100060XU,DEBW_522100060XU,heavy,4,260000,8238.425752065472,4906.533810951941,3271.6778856358815,169.3,4.2,residential
DEBW_522100060Xf,DEBW_522100060Xf,heavy,4,260000,18645.47987898479,10384.8497460986,8427.437014226203,482.1,4.2,residential
DEBW_522100060Xq,DEBW_522100060Xq,heavy,4,260000,8416.710601522562,5314.859022306141,3176.1991630009043,167.8,4.2,residential
DEBW_522100060vu,DEBW_522100060vu,heavy,4,260000,10921.683027000228,6278.002326923242,4924.045877130809,297.7,4.2,residential
DEBW_5221000619W,DEBW_5221000619W,heavy,4,260000,10747.959710402072,7079.825796439051,4682.347479445751,304.2,4.2,residential
DEBW_5221000629z,DEBW_5221000629z,heavy,4,260000,8015.750538470756,4314.838624360294,2898.5334698641946,77.5,4.2,residential
DEBW_522100063eT,DEBW_522100063eT,heavy,4,260000,47014.7267062667,43505.51133393731,27589.86141370594,3143.4,4.2,residential
DEBW_5221000647b,DEBW_5221000647b,heavy,4,260000,14852.992703365906,8326.883221116756,6300.938253144049,334.4,4.2,residential
DEBW_522100064GG,DEBW_522100064GG,heavy,4,260000,17276.343408675584,8913.002782250296,7364.238822740126,350.2,4.2,residential
DEBW_52210006GkA,DEBW_52210006GkA,heavy,4,260000,14514.593511399062,8294.05511623191,6343.057810584096,360.6,4.2,residential
DEBW_52210006HCZ,DEBW_52210006HCZ,heavy,4,260000,20570.083211280737,13578.9203710905,8537.048163805362,550.0,4.2,residential
DEBW_52210006HXy,DEBW_52210006HXy,heavy,4,260000,10301.82134535506,5390.212293197587,4381.348787076571,192.3,4.2,residential
DEBW_52210006Hkl,DEBW_52210006Hkl,heavy,4,260000,11100.291065349638,7560.155202119955,4664.294804306661,316.7,4.2,residential
DEBW_52210006Hwg,DEBW_52210006Hwg,heavy,4,260000,32875.041262133454,12396.21071776382,17614.427745467317,851.2,4.2,residential
DEBW_52210006I2P,DEBW_52210006I2P,heavy,4,260000,14931.33661259,8362.860357331558,6121.6204848120005,311.4,4.2,residential
DEBW_52210006I2R,DEBW_52210006I2R,heavy,4,260000,22943.138215558887,14687.841917019572,9401.097768507481,581.3,4.2,residential
DEBW_52210006Id7,DEBW_52210006Id7,heavy,4,260000,13644.02659144247,7577.984105098571,5198.830671617333,239.4,4.2,residential
DEBW_52210006IeR,DEBW_52210006IeR,heavy,4,260000,8926.682461636341,4537.417160827363,3498.482966475027,136.9,4.2,residential
DEBW_52210006InL,DEBW_52210006InL,heavy,4,260000,14234.009376628477,7671.891719257415,5621.036243337812,246.9,4.2,residential
DEBW_52210006Iok,DEBW_52210006Iok,heavy,4,260000,10987.920176490528,6235.989043163297,4696.365651067053,246.1,4.2,residential
DEBW_52210006Isp,DEBW_52210006Isp,heavy,4,260000,12912.492555673152,6631.833677044676,5146.486395464665,212.9,4.2,residential
DEBW_52210006IxM,DEBW_52210006IxM,heavy,4,260000,42511.88717785085,26607.88590147278,20392.766498969137,1406.2,4.2,residential
DEBW_52210006J1X,DEBW_52210006J1X,heavy,4,260000,10394.756611691118,4782.752935071336,4604.1473938302,211.3,4.2,residential
DEBW_52210006J9b,DEBW_52210006J9b,heavy,4,260000,24864.917448880715,13877.94470310094,11023.840715338327,615.6,4.2,residential
DEBW_52210006JsB,DEBW_52210006JsB,heavy,4,260000,16867.56329838109,10218.389364452336,7101.013971015244,434.9,4.2,residential
DEBW_52210006KHx,DEBW_52210006KHx,heavy,4,260000,17727.011654796836,9156.356093667324,7750.7031571388825,399.6,4.2,residential
DEBW_52210006KZK,DEBW_52210006KZK,heavy,4,260000,11644.899492959237,6198.9801387300495,4616.018930870408,207.8,4.2,residential
DEBW_52210006KbP,DEBW_52210006KbP,heavy,4,260000,13656.911353366835,7039.468371533484,5823.179863747608,285.1,4.2,residential
DEBW_52210006KcE,DEBW_52210006KcE,heavy,4,260000,15324.582377564448,10032.3504070549,6297.087628216818,399.2,4.2,residential
DEBW_52210006Krt,DEBW_52210006Krt,heavy,4,260000,9510.038323804694,4136.201418655589,4236.7515834417345,166.7,4.2,residential
DEBW_52210006NMW,DEBW_52210006NMW,heavy,4,260000,15421.392975637596,7775.549514860103,6733.778846203007,328.3,4.2,residential
DEBW_52210006NNm,DEBW_52210006NNm,heavy,4,260000,11056.642546284576,6515.473943484143,4755.084743422509,273.0,4.2,residential
DEBW_5221Us0004K,DEBW_5221Us0004K,heavy,4,260000,18672.580916201732,8675.842916649566,7841.883360337509,298.1,4.2,residential
DEBW_522Ue00002q,DEBW_522Ue00002q,heavy,4,260000,13902.39290171155,7032.789094153447,5615.752333224335,238.4,4.2,residential
