Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210004bgQ,DEBW_52210004bgQ,light,2,110000,25703.925293915618,31621.78577155666,4951.423524966899,403.9,4.2,residential
DEBW_52210004cUQ,DEBW_52210004cUQ,light,2,110000,17565.79441416015,24855.50864704057,3087.6235512447115,249.0,4.2,residential
DEBW_52210004caM,DEBW_52210004caM,light,2,110000,53050.911279945714,47091.05907501727,13290.351521553466,888.6,4.2,residential
DEBW_52210004d3g,DEBW_52210004d3g,light,2,110000,17499.362937905964,24159.102927092492,3316.3049633730016,340.8,4.2,residential
DEBW_52210004dF4,DEBW_52210004dF4,light,2,110000,14951.510568070611,13216.575424610388,3465.141962013687,136.9,4.2,residential
DEBW_52210004dGw,DEBW_52210004dGw,light,2,110000,21139.729118388987,27500.691643277783,4107.545260680771,410.5,4.2,residential
DEBW_52210004dNl,DEBW_52210004dNl,light,2,110000,18226.559503243592,27100.75733657324,3086.945822642774,304.0,4.2,residential
DEBW_52210004dQ2,DEBW_52210004dQ2,light,2,110000,12541.208809222286,16932.986702807364,2258.6896494671437,191.4,4.2,residential
DEBW_52210004dQC,DEBW_52210004dQC,light,2,110000,43984.75485122544,57212.338543627186,8700.494809152708,863.1,4.2,residential
DEBW_52210004dvl,DEBW_52210004dvl,light,2,110000,29988.66311550129,38058.12457110157,5575.2348638578715,448.1,4.2,residential
DEBW_52210004e9F,DEBW_52210004e9F,light,2,110000,31607.30883851678,41378.05602756885,5864.000576801151,496.2,4.2,residential
DEBW_52210004eFK,DEBW_52210004eFK,light,2,110000,46901.94383609414,58224.644680590754,9268.724763947157,805.1,4.2,residential
DEBW_52210004edl,DEBW_52210004edl,light,2,110000,15133.301312710562,20951.402992697887,2701.0261955815427,237.7,4.2,residential
DEBW_52210004evV,DEBW_52210004evV,light,2,110000,27142.27420206951,34699.06283155789,4968.25334194577,445.0,4.2,residential
DEBW_52210004ewN,DEBW_52210004ewN__01,light,2,110000,15874.188330590183,18519.579821786687,3275.2276945827675,227.8,4.2,residential
DEBW_52210004f3W,DEBW_52210004f3W,light,2,110000,19405.33579910877,23949.576404735297,3649.766294152729,211.9,4.2,residential
DEBW_52210004fK1,DEBW_52210004fK1,light,2,110000,21422.368307742086,25863.367264309505,4075.4648362951566,272.8,4.2,residential
DEBW_52210004fgD,DEBW_52210004fgD,light,2,110000,17515.91826204892,21422.042500730535,3285.248830070026,205.6,4.2,residential
DEBW_52210004xfl,DEBW_52210004xfl,light,2,110000,26910.08590402877,32983.159381468024,5064.391050117699,401.0,4.2,residential
DEBW_52210004xqq,DEBW_52210004xqq,light,2,110000,22278.287320110463,29828.548869464757,4665.271298397026,551.2,4.2,residential
DEBW_52210004xrI,DEBW_52210004xrI,light,2,110000,19626.924945599963,23654.655537284896,3953.627083300715,297.4,4.2,residential
DEBW_52210004xsG,DEBW_52210004xsG,light,2,110000,11785.233625169258,16566.755155127918,2043.4660840738181,162.4,4.2,residential
DEBW_52210004xx4,DEBW_52210004xx4,light,2,110000,21391.145173102643,21186.8472084804,4642.627128060667,245.4,4.2,residential
DEBW_52210004y9B,DEBW_52210004y9B,light,2,110000,24941.92244445569,30643.45560756407,4796.489267189357,388.6,4.2,residential
DEBW_52210004yBG,DEBW_52210004yBG,light,2,110000,34078.09947530279,43225.7972107313,6388.152479537551,541.5,4.2,residential
DEBW_52210004ylt,DEBW_52210004ylt,light,2,110000,27974.00822274618,38115.24477891686,5398.248342489449,586.1,4.2,residential
DEBW_52210004yr8,DEBW_52210004yr8,light,2,110000,17304.93766724302,21179.40807784871,3214.8773839684586,202.2,4.2,residential
DEBW_52210004zAp,DEBW_52210004zAp,light,2,110000,9630.922495091016,13018.565014086309,1865.3646556308338,155.0,4.2,residential
DEBW_52210004zCV,DEBW_52210004zCV,light,2,110000,6907.137114776211,4595.1718944906515,2035.1851709753853,52.4,4.2,residential
DEBW_52210004zDV,DEBW_52210004zDV,light,2,110000,13736.9997737071,18657.5633853493,2491.431417905498,191.0,4.2,residential
DEBW_52210004zE4,DEBW_52210004zE4,light,2,110000,15163.148646810112,17455.869549711584,3129.296424369178,213.3,4.2,residential
DEBW_52210004zH7,DEBW_52210004zH7,light,2,110000,18191.290064709574,23101.667002289683,3581.146852396063,301.4,4.2,residential
DEBW_52210004zVF,DEBW_52210004zVF,light,2,110000,34556.74061388688,44755.358556118896,6522.685734865518,578.0,4.2,residential
DEBW_52210004zyP,DEBW_52210004zyP,light,2,110000,25647.324468288527,31722.078093797383,4933.867806989725,412.4,4.2,residential
DEBW_522100050H1,DEBW_522100050H1,light,2,110000,5276.787656212549,6685.739615763415,1005.1998526921635,53.9,4.2,residential
DEBW_522100050Oj,DEBW_522100050Oj,light,2,110000,15459.624756056734,17840.25568548713,3257.366707395876,216.4,4.2,residential
DEBW_522100050uW,DEBW_522100050uW,light,2,110000,17832.214847216746,23786.003626424215,3520.0649911876417,367.1,4.2,residential
DEBW_522100050wu,DEBW_522100050wu,light,2,110000,26663.637428920247,34234.0976464316,5073.310117468306,430.5,4.2,residential
DEBW_522100050y5,DEBW_522100050y5,light,2,110000,19442.79933768678,23792.343985089778,3660.439346732291,244.4,4.2,residential
DEBW_5221000518C,DEBW_5221000518C,light,2,110000,24230.762605506352,38145.022956781046,3962.5383426170843,548.3,4.2,residential
DEBW_522100051DN,DEBW_522100051DN,light,2,110000,11914.681802130603,13893.356983767691,2525.1421748728376,163.8,4.2,residential
DEBW_522100051Hd,DEBW_522100051Hd,light,2,110000,11759.461690035329,14702.040588206344,2977.353381580711,311.1,4.2,residential
DEBW_522100053Xz,DEBW_522100053Xz,light,2,110000,5183.492781408209,5218.828768657098,1095.3350013528316,69.2,4.2,residential
DEBW_522100054BV,DEBW_522100054BV,light,2,110000,15487.885254220866,17614.285795803466,3336.177287656587,216.2,4.2,residential
DEBW_522100054Ih,DEBW_522100054Ih,light,2,110000,32437.13479363608,44109.43151806885,6439.345935337488,697.1,4.2,residential
DEBW_52210005J24,DEBW_52210005J24,light,2,110000,31268.79814427989,39811.12793049431,6024.196708430316,559.7,4.2,residential
DEBW_52210005JLO,DEBW_52210005JLO,light,2,110000,19770.362507812733,24208.40441434991,3669.191552545066,251.3,4.2,residential
DEBW_52210005JMk,DEBW_52210005JMk,light,2,110000,15975.579407990908,24417.810803569864,2612.1468675864444,255.3,4.2,residential
DEBW_52210005JOp,DEBW_52210005JOp,light,2,110000,21505.289399388854,26720.65050606256,4281.738029077623,371.7,4.2,residential
DEBW_52210005JfZ,DEBW_52210005JfZ,light,2,110000,25843.207581519597,32945.844812275354,4853.2159775488935,400.9,4.2,residential
DEBW_52210005Jkv,DEBW_52210005Jkv,light,2,110000,11647.784098619331,22302.37297727357,1523.4463996027441,253.5,4.2,residential
DEBW_52210005JtI,DEBW_52210005JtI,light,2,110000,35633.12454642869,44263.19177660494,6918.017134310572,601.6,4.2,residential
DEBW_52210005K5d,DEBW_52210005K5d,light,2,110000,13059.02320803508,17968.66216610519,2366.07237590644,183.4,4.2,residential
DEBW_52210005K93,DEBW_52210005K93,light,2,110000,27880.96309034241,33942.32022641224,5394.0992333246695,426.0,4.2,residential
DEBW_52210005KEF,DEBW_52210005KEF,light,2,110000,83373.05224062821,111762.56975525212,17446.46797046294,2050.4,4.2,residential
DEBW_52210005KUx,DEBW_52210005KUx,light,2,110000,25501.252613873283,31101.135112182008,4782.075497272398,352.9,4.2,residential
DEBW_52210005KXK,DEBW_52210005KXK,light,2,110000,12842.652520636462,15357.195616017616,2628.39293737138,176.3,4.2,residential
DEBW_52210005Kf7,DEBW_52210005Kf7,light,2,110000,20869.860261571688,25761.923648789416,3811.2110819002864,232.7,4.2,residential
DEBW_52210005KyO,DEBW_52210005KyO,light,2,110000,27646.80545733658,35142.175941949135,5129.021739984397,406.1,4.2,residential
DEBW_52210005L39,DEBW_52210005L39,light,2,110000,30774.479487258435,38470.00983621828,5813.634461955929,457.2,4.2,residential
DEBW_52210005L4M,DEBW_52210005L4M,light,2,110000,16714.034943364262,20204.708319500354,3253.7587806427764,226.6,4.2,residential
DEBW_52210005LJS,DEBW_52210005LJS,light,2,110000,20334.558339417952,25076.160709898115,3928.916529248832,300.0,4.2,residential
DEBW_52210005LZh,DEBW_52210005LZh,light,2,110000,21212.251403354392,27497.256782452252,3885.399680517665,313.7,4.2,residential
DEBW_52210005M2x,DEBW_52210005M2x,light,2,110000,26397.78631798625,32213.617320919693,5127.606937696529,415.8,4.2,residential
DEBW_52210005MRo,DEBW_52210005MRo,light,2,110000,15313.557616122913,14851.24521821918,3419.7435997905563,163.5,4.2,residential
DEBW_52210005MSz,DEBW_52210005MSz,light,2,110000,16579.992017843007,22373.930109599743,3130.909378338101,267.2,4.2,residential
DEBW_52210005MV3,DEBW_52210005MV3,light,2,110000,45319.66012270916,56424.698602681296,8729.6076337418,701.9,4.2,residential
DEBW_52210005Mki,DEBW_52210005Mki,light,2,110000,29144.466184736288,35488.42646480102,5637.789852293979,451.2,4.2,residential
DEBW_52210005N87,DEBW_52210005N87,light,2,110000,20916.48091183613,25601.14997573118,3948.99559235886,297.1,4.2,residential
DEBW_52210005PFV,DEBW_52210005PFV,light,2,110000,13987.896812508374,19635.498469041268,2527.9669839232197,220.9,4.2,residential
DEBW_52210005PRs,DEBW_52210005PRs,light,2,110000,40480.29895957614,45069.9673900955,8573.34634439174,364.1,4.2,residential
DEBW_52210005Q4u,DEBW_52210005Q4u,light,2,110000,20405.858469413673,21461.839368078614,4273.571651306431,256.6,4.2,residential
DEBW_52210005dgg,DEBW_52210005dgg,light,2,110000,13182.688473929817,15469.317564573867,2645.268831821006,165.1,4.2,residential
DEBW_52210005diH,DEBW_52210005diH,light,2,110000,28665.541791325395,35072.87498209309,5461.337413013596,420.5,4.2,residential
DEBW_52210005djN,DEBW_52210005djN,light,2,110000,26818.71955904029,32437.34118346074,5370.694870718589,440.9,4.2,residential
DEBW_52210005dnU,DEBW_52210005dnU,light,2,110000,12216.409476151175,16605.986873735877,2193.951705044497,157.6,4.2,residential
DEBW_52210005doZ,DEBW_52210005doZ,light,2,110000,21931.241974774137,26946.189294822387,4214.961004927355,324.2,4.2,residential
DEBW_52210005eg5,DEBW_52210005eg5,light,2,110000,21433.93011602497,26018.01122979382,4162.146114014851,310.4,4.2,residential
DEBW_52210005ej5,DEBW_52210005ej5,light,2,110000,22923.131374126573,28071.77874660972,4469.476773519313,348.9,4.2,residential
DEBW_52210005elC,DEBW_52210005elC,light,2,110000,21492.174599472848,26861.38798473559,4288.869072100094,355.5,4.2,residential
DEBW_52210005ela,DEBW_52210005ela,light,2,110000,22422.656348892306,27540.14217840237,4245.519744187849,301.5,4.2,residential
DEBW_52210005ely,DEBW_52210005ely,light,2,110000,10269.287399591509,13291.860827152535,1989.4060360305184,99.3,4.2,residential
