Building ID,Building ID [filename],Thermal class,Thermal class index,Usage type,Latitude [deg],Longitude [deg],Heated area [m2],Heated volume [m3],Window area [m2],Window-to-Wall ratio [-],U walls [W/m2K],U windows [W/m2K],Internal gains [W/m2],ACH ventilation [1/h],ACH infiltration [1/h],Ventilation efficiency [-],Thermal capacitance [J/m2K],Heating setpoint day [C],Heating setpoint night [C],Cooling setpoint [C],Summer start day-of-year,Summer end day-of-year,Max heating energy per floor area [W/m2],Max cooling energy per floor area [W/m2]
DEBW_52210005k3y,DEBW_52210005k3y,light,2,residential,48.77127,9.21102,326.4,1019.9,71.42999999999999,0.21317933566120512,0.7032870322380015,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005xLD,DEBW_52210005xLD,light,2,residential,48.77339,9.21124,317.3,991.4,77.39,0.20547472387425664,0.7258916299995056,2.57,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005xM5,DEBW_52210005xM5,light,2,residential,48.77246,9.2097,380.5,1189.0,92.05,0.20833804857071722,0.7171049823524583,2.57,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005xO2,DEBW_52210005xO2,light,2,residential,48.77315,9.20728,223.3,697.7,45.24000000000001,0.1749419953596288,0.7071089031755308,2.5699999999999994,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005xRe,DEBW_52210005xRe,light,2,residential,48.77312,9.20718,76.6,239.3,25.69,0.2699947451392538,0.6946704814522493,2.5699999999999994,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005xix,DEBW_52210005xix,light,2,residential,48.7741,9.20416,202.1,631.4,62.17,0.2072057059058792,0.7205903551904222,2.5699999999999994,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005xzK,DEBW_52210005xzK,light,2,residential,48.77306,9.2071,230.0,718.7,48.059999999999995,0.17496086497506277,0.7070029945608994,2.57,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005y1r,DEBW_52210005y1r,light,2,residential,48.77128,9.20765,356.9,1115.3,92.66,0.20695970695970695,0.7213312820512819,2.57,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005y86,DEBW_52210005y86,light,2,residential,48.77159,9.21217,283.8,886.7,75.08,0.2105558359975321,0.7107559966089861,2.57,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005yG0,DEBW_52210005yG0,light,2,residential,48.77255,9.20427,423.5,1323.5,102.5,0.20676160890789527,0.7219322210055493,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005yIg,DEBW_52210005yIg,light,2,residential,48.77401,9.20477,309.5,967.1,60.85,0.21984175728891944,0.6862553772213489,2.5699999999999994,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005yi4,DEBW_52210005yi4,light,2,residential,48.77236,9.20424,136.3,426.0,26.44,0.2241247774858015,0.676313240043057,2.57,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005yjZ,DEBW_52210005yjZ,light,2,residential,48.77214,9.20438,423.5,1323.4,93.53,0.21512029072174435,0.6982413976064612,2.57,4.2,0.41,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005ylp,DEBW_52210005ylp,light,2,residential,48.77186,9.20845,386.7,1208.5,69.61999999999999,0.21887575452716296,0.6886441119063109,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005ynV,DEBW_52210005ynV,light,2,residential,48.77266,9.20698,84.6,189.3,26.22,0.31229156741305386,0.6573899773555183,2.5700000000000003,4.2,0.5,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005yqw,DEBW_52210005yqw,light,2,residential,48.77135,9.21003,419.1,1309.8,99.47999999999999,0.21088781480539304,0.7098376184032477,2.57,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005yrw,DEBW_52210005yrw,light,2,residential,48.77387,9.20468,605.2,1891.1,123.44999999999999,0.21654095772671464,0.6945325594480144,2.57,4.2,0.44,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005zVK,DEBW_52210005zVK,light,2,residential,48.77229,9.20429,299.3,753.5,79.94,0.29186899850304865,0.7194128180258152,2.5700000000000003,4.2,0.44,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005zd7,DEBW_52210005zd7,light,2,residential,48.77302,9.20822,338.7,1058.5,59.580000000000005,0.21659941105900318,0.6943724696356274,2.5699999999999994,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210005zmV,DEBW_52210005zmV,light,2,residential,48.77198,9.21021,641.1,1555.8,83.85999999999999,0.17079081892425813,0.7180438627520339,2.5700000000000003,4.2,0.42,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522100060Iy,DEBW_522100060Iy,light,2,residential,48.77223,9.21041,385.1,1203.5,85.25,0.20805876897544787,0.718032310321106,2.57,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522100060Oq,DEBW_522100060Oq,light,2,residential,48.77199,9.21215,294.6,920.8,50.4,0.17753980555164153,0.7007328385899814,2.57,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522100060XU,DEBW_522100060XU,light,2,residential,48.7735,9.20928,169.3,529.0,42.87,0.17874416277518343,0.6976495566803682,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522100060Xf,DEBW_522100060Xf,light,2,residential,48.77295,9.20886,482.1,1506.6,97.59,0.21587842321815692,0.6963185574755824,2.5699999999999994,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522100060Xq,DEBW_522100060Xq,light,2,residential,48.77311,9.20421,167.8,524.4,44.51,0.17325133315168736,0.7115016069712734,2.57,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522100060vu,DEBW_522100060vu,light,2,residential,48.77364,9.20801,297.7,930.4,58.26,0.21231778425655978,0.7057855114995695,2.5700000000000003,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_5221000619W,DEBW_5221000619W,light,2,residential,48.7722,9.20857,304.2,950.7,58.17999999999999,0.2307265228426396,0.6621237323122028,2.5699999999999994,4.2,0.42,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_5221000629z,DEBW_5221000629z,light,2,residential,48.77462,9.21298,77.5,350.7,35.07,0.2102391942929081,0.6372361176655655,2.57,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
