Building ID,Building ID [filename],Thermal class,Thermal class index,Usage type,Latitude [deg],Longitude [deg],Heated area [m2],Heated volume [m3],Window area [m2],Window-to-Wall ratio [-],U walls [W/m2K],U windows [W/m2K],Internal gains [W/m2],ACH ventilation [1/h],ACH infiltration [1/h],Ventilation efficiency [-],Thermal capacitance [J/m2K],Heating setpoint day [C],Heating setpoint night [C],Cooling setpoint [C],Summer start day-of-year,Summer end day-of-year,Max heating energy per floor area [W/m2],Max cooling energy per floor area [W/m2]
DEBW_52210003qpi,DEBW_52210003qpi,medium,3,residential,48.77171,9.21346,568.6,1776.7,102.25999999999999,0.20129525009350208,0.12452959679725481,0.9100000000000001,4.2,0.43,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003qta,DEBW_52210003qta,medium,3,residential,48.77165,9.21243,219.5,686.1,58.209999999999994,0.21331720902961007,0.1263515274819595,0.9100000000000001,4.2,0.42,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003qwF,DEBW_52210003qwF,medium,3,residential,48.77348,9.20708,260.9,815.3,61.400000000000006,0.21541592113110905,0.12662539995813524,0.9099999999999999,4.2,0.43,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003rFb,DEBW_52210003rFb,medium,3,residential,48.77189,9.21267,530.3,1657.2,77.08,0.22085327067992322,0.12730426257061486,0.9099999999999999,4.2,0.43,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003rIo,DEBW_52210003rIo,medium,3,residential,48.77358,9.20398,166.8,521.1,58.42,0.31172296035430336,0.12855660042583392,0.9099999999999999,4.2,0.45,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003rgE,DEBW_52210003rgE,medium,3,residential,48.77262,9.21082,117.3,366.4,31.1,0.1837735626071028,0.12719714524052278,0.91,4.2,0.44,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003sTZ,DEBW_52210003sTZ,medium,3,residential,48.77104,9.21191,221.4,692.0,49.49,0.17248109294949987,0.12581897452742857,0.91,4.2,0.43,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003sUv,DEBW_52210003sUv,medium,3,residential,48.77482,9.20445,153.1,478.3,32.23,0.3952176578786021,0.13437050565003994,0.91,4.2,0.44,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003snr,DEBW_52210003snr,medium,3,residential,48.77342,9.20777,266.4,832.5,73.49000000000001,0.2102537693474094,0.1259231494938678,0.9099999999999999,4.2,0.42,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003t47,DEBW_52210003t47,medium,3,residential,48.77087,9.21214,67.9,249.9,24.75,0.1921136381277653,0.12805463101113282,0.9100000000000001,4.2,0.46,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003t7f,DEBW_52210003t7f,medium,3,residential,48.77408,9.20483,308.8,965.1,61.07,0.21897522320628202,0.1270791315695812,0.91,4.2,0.45,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003tNq,DEBW_52210003tNq,medium,3,residential,48.77484,9.20626,244.1,762.8,75.65,0.20200806430078241,0.12464889299840756,0.9099999999999999,4.2,0.4,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210003tQY,DEBW_52210003tQY,medium,3,residential,48.77173,9.21078,449.8,1405.5,79.18,0.22625442907760887,0.12792023554603854,0.91,4.2,0.4,0,0,165000,20.0,16.0,25.0,121,273,inf,-inf
