BuildingID,Annual_Q_heiz_kWh,Jan_Q_heiz_kWh,Feb_Q_heiz_kWh,Mar_Q_heiz_kWh,Apr_Q_heiz_kWh,May_Q_heiz_kWh,Jun_Q_heiz_kWh,Jul_Q_heiz_kWh,Aug_Q_heiz_kWh,Sep_Q_heiz_kWh,Oct_Q_heiz_kWh,Nov_Q_heiz_kWh,Dec_Q_heiz_kWh,Annual_Q_kuehl_kWh,Jan_Q_kuehl_kWh,Feb_Q_kuehl_kWh,Mar_Q_kuehl_kWh,Apr_Q_kuehl_kWh,May_Q_kuehl_kWh,Jun_Q_kuehl_kWh,Jul_Q_kuehl_kWh,Aug_Q_kuehl_kWh,Sep_Q_kuehl_kWh,Oct_Q_kuehl_kWh,Nov_Q_kuehl_kWh,Dec_Q_kuehl_kWh,Annual_Q_soltr_kWh,Jan_Q_soltr_kWh,Feb_Q_soltr_kWh,Mar_Q_soltr_kWh,Apr_Q_soltr_kWh,May_Q_soltr_kWh,Jun_Q_soltr_kWh,Jul_Q_soltr_kWh,Aug_Q_soltr_kWh,Sep_Q_soltr_kWh,Oct_Q_soltr_kWh,Nov_Q_soltr_kWh,Dec_Q_soltr_kWh
Basis_DEBW_01aab_woNT,24575.854712488202,5409.994477724632,4303.88044862992,3464.1152862576846,894.4780585657327,0.0,0.0,0.0,0.0,120.0896284327408,2001.1916466926045,3520.3611303167363,4861.744035868152,2545.329313867838,0.0,0.0,0.0,4.8978602029182845,194.49167251956564,371.80109475349775,955.9715029649091,670.0399171290526,348.1272662978952,0.0,0.0,0.0,13455.422034383286,335.24616902461304,463.2668970241534,741.3697555835997,1755.77263466161,1851.6198941430614,2007.764979299398,2177.748619224084,1611.816114198694,1229.4493621023278,702.6393614930638,376.65604041122765,202.07220721745253
Basis_DEBW_02aac_woNT,24196.03422605856,5238.041479457264,4214.502736294418,3388.9487574723858,1192.4252421017013,0.0,0.0,0.0,0.0,109.16180781164474,1905.9677964175144,3391.6029147037584,4755.38349179987,1125.4467656267675,0.0,0.0,0.0,0.0,22.208774874911292,74.09666376149606,421.95922742567416,335.56523182089336,271.6168677437929,0.0,0.0,0.0,10981.064404382862,548.6465997879532,575.4022451774648,829.399935514332,1261.9726856431876,1209.30194050814,1281.3838213693336,1355.6076855342333,1130.76098018218,1085.2388713533367,835.7713289143057,533.5709541445115,334.00735625388234
Basis_DEBW_03aad_woNT,7425.682374771412,1878.7984536587333,1423.6381341121194,986.0021097121302,62.22629239137255,0.0,0.0,0.0,0.0,5.516144940329744,364.14299882318886,1059.307305540403,1646.0509355931335,3083.0570894068646,0.0,0.0,0.0,20.448050974154995,343.00460393718197,593.2966763148223,999.5727716746248,763.3087409854398,363.4262455206411,0.0,0.0,0.0,4785.080671523589,115.94928469238789,162.65991468076385,261.4158278540964,630.2879330328217,661.5108004407684,713.4816310893523,777.1180759538568,576.3517121279832,438.52555779025005,247.0317976694785,131.14766365849957,69.60047253333097
Basis_DEBW_04aae_woNT,7087.207454672164,1769.777972131641,1369.656736494614,943.3137271084507,121.97978485240324,0.0,0.0,0.0,0.0,7.032754167130689,321.2220917314641,975.7900082850499,1578.434379901411,1726.846537899453,0.0,0.0,0.0,0.0,82.57593435573668,255.04233711151954,582.5434081718927,513.1512301811953,293.53362807910867,0.0,0.0,0.0,3804.1737856138934,199.33915728814247,204.84718011268387,292.4697784955982,432.8421384210891,410.32098852656964,432.218845576766,457.41366038674676,387.01992458945006,377.51486970708805,296.36437031514834,192.24313379384552,121.57973840076482
