Tzone_luft,Q_heiz,Q_kuehl,Q_soltr
°C,kWh,kWh,kWh
19.39977817497686,0.0,0.0,0.0
18.973625463647227,0.0,0.0,0.0
19.026989400708775,0.0,0.0,0.0
18.918337244297003,0.0,0.0,0.0
18.88829621093673,0.0,0.0,0.0
18.816988332508004,0.0,0.0,0.0
18.749476759925788,0.0,0.0,0.0
19.355589506095917,1.4649836597476356,0.0,0.0
20.0,1.9798243007521277,0.0,0.03884164631116172
20.0,1.8102773618810897,0.0,0.21362904099202054
20.0,1.6961519462159453,0.0,0.29131233361434394
20.0,1.6711030847567032,0.0,0.22916570500423275
20.0,1.6401961388085733,0.0,0.2408181961537075
20.0,1.661367807758369,0.0,0.22528153214149527
20.0,1.7260652842749227,0.0,0.17478740840022777
20.0,1.822604050475428,0.0,0.09710411577790432
20.0,1.9289628131734207,0.0,0.011652492864395845
20.0,1.981689037244012,0.0,0.0
20.0,1.998538741067314,0.0,0.0
20.0,1.9808299622728132,0.0,0.0
20.0,1.9542763236748901,0.0,0.0
20.0,1.9308901596213077,0.0,0.0
20.0,1.9382669949292746,0.0,0.0
20.0,1.9865356253722954,0.0,0.0
19.054239872960004,0.0,0.0,0.0
18.383969275574344,0.0,0.0,0.0
18.460994002719744,0.0,0.0,0.0
18.27631607954939,0.0,0.0,0.0
18.22417053941537,0.0,0.0,0.0
18.12983332049518,0.0,0.0,0.0
18.052913229264394,0.0,0.0,0.0
19.002198968740597,2.2534924228508233,0.0,0.0
20.0,3.0445476336331194,0.0,0.02330498572879169
20.0,2.874671257103255,0.0,0.11652493893348519
20.0,2.751530425870264,0.0,0.18643988583033352
20.0,2.6492025136156734,0.0,0.22916570500423275
20.0,2.5741534068514977,0.0,0.24470234157770712
20.0,2.5315205651073565,0.0,0.22528153214149527
20.0,2.517774660327963,0.0,0.17478740840022777
20.0,2.5301824907814203,0.0,0.10098827492127291
20.0,2.5736040587702314,0.0,0.015536657152527791
20.0,2.5913342632840473,0.0,0.0
20.0,2.597585209935302,0.0,0.0
20.0,2.603478152144671,0.0,0.0
20.0,2.620165556086722,0.0,0.0
20.0,2.644253391964141,0.0,0.0
20.0,2.683612703321746,0.0,0.0
20.0,2.741001545934325,0.0,0.0
18.70127754523321,0.0,0.0,0.0
17.777363161693707,0.0,0.0,0.0
17.87307893890176,0.0,0.0,0.0
17.61205595258739,0.0,0.0,0.0
17.53289186207937,0.0,0.0,0.0
17.384269509387085,0.0,0.0,0.0
17.265928632088684,0.0,0.0,0.0
18.599488354634843,3.1391965134339745,0.0,0.0
20.0,4.074366324074646,0.0,0.2602044071882538
20.0,2.870284086910744,0.0,2.026995382121014
20.0,2.1115198651529656,0.0,2.6019145152594683
20.0,1.3397507804020197,0.0,3.3206960887487003
20.0,1.1057662260631331,0.0,2.958208150410169
20.0,0.8219433240201518,0.0,3.0312973538753174
20.0,0.8294924305034914,0.0,2.681966842078141
20.0,1.3548863766163575,0.0,1.5159788933752387
20.0,2.2353912316207585,0.0,0.02330498572879169
20.0,2.4627851522521573,0.0,0.0
20.0,2.5766341860720017,0.0,0.0
20.0,2.6429866780978206,0.0,0.0
20.0,2.7043238844432116,0.0,0.0
20.0,2.7668053215677513,0.0,0.0
20.0,2.845293566123566,0.0,0.0
20.0,2.9258606448002444,0.0,0.0
18.60727880854665,0.0,0.0,0.0
17.614322822496582,0.0,0.0,0.0
17.71856542689371,0.0,0.0,0.0
17.436254846861914,0.0,0.0,0.0
17.34559481391903,0.0,0.0,0.0
17.1911742482805,0.0,0.0,0.0
17.071745215835723,0.0,0.0,0.0
18.501432347556115,3.355219338474126,0.0,0.0
20.0,4.262296560481732,0.0,0.4782625797867902
20.0,3.221947380978632,0.0,1.8925813561539282
20.0,2.3671821577446504,0.0,2.7610880499182415
20.0,1.93693514773669,0.0,2.7858103410520023
20.0,1.5504488905250036,0.0,2.90675832514257
20.0,1.3080073185739052,0.0,2.801887726784946
20.0,1.161948748921487,0.0,2.696939584026572
20.0,1.5396823715879386,0.0,1.6851523128384378
20.0,2.276945274735594,0.0,0.3665896296234731
20.0,2.675180631106559,0.0,0.0
20.0,2.859429443011209,0.0,0.0
20.0,3.004861238619584,0.0,0.0
20.0,3.119309029913622,0.0,0.0
20.0,3.2156530032085073,0.0,0.0
20.0,3.2729780973316602,0.0,0.0
20.0,3.315145814618631,0.0,0.0
18.444345925692538,0.0,0.0,0.0
17.337937780928176,0.0,0.0,0.0
