Tzone_luft,Q_heiz,Q_kuehl,Q_soltr
°C,kWh,kWh,kWh
19.08809275974164,0.0,0.0,0.0
18.39780725157189,0.0,0.0,0.0
18.38687215405274,0.0,0.0,0.0
18.104938319305468,0.0,0.0,0.0
17.919198160025346,0.0,0.0,0.0
17.666321748460547,0.0,0.0,0.0
17.42020127904126,0.0,0.0,0.0
18.645297033523082,3.208874830982919,0.0,0.0
20.0,4.463802539042437,0.0,0.11035399464202564
20.0,4.277324229233564,0.0,0.606946931552691
20.0,4.1931121497681785,0.0,0.8276549208367423
20.0,4.241659504812123,0.0,0.6510885450008812
20.0,4.279648155660939,0.0,0.684194735597799
20.0,4.383150156528863,0.0,0.6400531221496087
20.0,4.546834826569029,0.0,0.49659297588911533
20.0,4.758725033416429,0.0,0.2758849866050641
20.0,4.990451380335119,0.0,0.03310619546922395
20.0,5.148314230112875,0.0,0.0
20.0,5.253867556236849,0.0,0.0
20.0,5.309061450090206,0.0,0.0
20.0,5.3458781344990065,0.0,0.0
20.0,5.379221834391056,0.0,0.0
20.0,5.445065359708921,0.0,0.0
20.0,5.558320185926261,0.0,0.0
18.0,1.3302719507237069,0.0,0.0
16.0,0.04943678760080527,0.0,0.0
16.0,0.5799062720276237,0.0,0.0
16.0,0.9559115648152753,0.0,0.0
16.0,1.2524538198463577,0.0,0.0
16.0,1.5039555518930057,0.0,0.0
16.0,1.746788034841617,0.0,0.0
18.0,6.336194135735536,0.0,0.0
20.0,7.926265691811513,0.0,0.0662123909384479
20.0,7.598349467495112,0.0,0.3310619839260769
20.0,7.376054902408917,0.0,0.5296991275075832
20.0,7.204792106279985,0.0,0.6510885450008812
20.0,7.084125037683641,0.0,0.6952300804921716
20.0,7.017616323492104,0.0,0.6400531221496087
20.0,6.999431661796205,0.0,0.49659297588911533
20.0,7.025183987902807,0.0,0.2869203704778867
20.0,7.100190198217557,0.0,0.04414159395896526
20.0,7.139620981956606,0.0,0.0
20.0,7.160386778944885,0.0,0.0
20.0,7.1787903300111955,0.0,0.0
20.0,7.210419706017548,0.0,0.0
20.0,7.251619454424904,0.0,0.0
20.0,7.313582517078305,0.0,0.0
20.0,7.401109937052016,0.0,0.0
18.0,3.1517460370086092,0.0,0.0
16.0,1.874768850621444,0.0,0.0
16.0,2.416823015039715,0.0,0.0
16.0,2.792778779556821,0.0,0.0
16.0,3.1025874661902826,0.0,0.0
16.0,3.3937596832303982,0.0,0.0
16.0,3.6575728159133476,0.0,0.0
18.0,8.237534971680805,0.0,0.0
20.0,9.548430169630915,0.0,0.87723629161753
20.0,8.024666460262193,0.0,4.627753108877981
20.0,7.649056334431952,0.0,3.3577989587494184
20.0,7.677931318502977,0.0,1.843449184753367
20.0,7.775915771028005,0.0,0.984694172083103
20.0,7.357103735457227,0.0,1.955364586099071
20.0,6.672076367042933,0.0,3.8201282896357918
20.0,6.406052344078748,0.0,3.7890428576010073
20.0,7.32757618650258,0.0,0.0662123909384479
20.0,7.542980420838187,0.0,0.0
20.0,7.6409394621950515,0.0,0.0
20.0,7.702811854802494,0.0,0.0
20.0,7.77396995500802,0.0,0.0
20.0,7.855437970322585,0.0,0.0
20.0,7.963660346194148,0.0,0.0
20.0,8.080053051702018,0.0,0.0
18.0,3.8549944973117816,0.0,0.0
16.0,2.5923100141581865,0.0,0.0
16.0,3.1337899576629487,0.0,0.0
16.0,3.529706331158927,0.0,0.0
16.0,3.852709869989792,0.0,0.0
16.0,4.139617571243168,0.0,0.0
16.0,4.400414136499684,0.0,0.0
18.0,8.984190515412983,0.0,0.0
20.0,10.092249767301254,0.0,1.646676854543755
20.0,8.809686928623682,0.0,4.321170894072544
20.0,8.410428134498579,0.0,3.480813605438473
20.0,8.584775854210754,0.0,1.548952092721991
20.0,8.657840575385215,0.0,0.9238040923453245
20.0,8.215547839997873,0.0,1.8476615908905034
20.0,7.43339789770419,0.0,3.8382596627478485
20.0,6.982666254582558,0.0,4.1908248518227555
20.0,7.580231613952815,0.0,1.3209100712543296
20.0,8.08093002774,0.0,0.0
20.0,8.290048308228085,0.0,0.0
20.0,8.46219674252187,0.0,0.0
20.0,8.610183524604379,0.0,0.0
20.0,8.747130883451018,0.0,0.0
20.0,8.84027588919928,0.0,0.0
20.0,8.919002696491477,0.0,0.0
18.0,4.652820656684546,0.0,0.0
16.0,3.3994319178847623,0.0,0.0
16.0,4.010181605731819,0.0,0.0
16.0,4.46268564289403,0.0,0.0
16.0,4.775394950755492,0.0,0.0
16.0,4.975859184053547,0.0,0.0
16.0,5.129378954025544,0.0,0.0
