building_name,pr1_file,pr2_file,output_file,status,hours_processed
Basis_DEBW_01aab,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_01aab_woNT.pr1,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_01aab_woNT.pr2,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\processed\Basis_DEBW_01aab_TRNSYS_converted.csv,Success,8760
Basis_DEBW_02aac,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_02aac_woNT.pr1,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_02aac_woNT.pr2,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\processed\Basis_DEBW_02aac_TRNSYS_converted.csv,Success,8760
Basis_DEBW_03aad,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_03aad_woNT.pr1,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_03aad_woNT.pr2,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\processed\Basis_DEBW_03aad_TRNSYS_converted.csv,Success,8760
Basis_DEBW_04aae,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_04aae_woNT.pr1,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\Basis_DEBW_04aae_woNT.pr2,F:\Backup_project1\20260529_TRNSYS_woNT\RC_BuildingSimulator\rc_simulator\CSV_Import\data\TRNSYS\processed\Basis_DEBW_04aae_TRNSYS_converted.csv,Success,8760
