Tzone_luft,Q_heiz,Q_kuehl,Q_soltr
°C,kWh,kWh,kWh
19.399778174976856,0.0,0.0,0.0
18.973625463647224,0.0,0.0,0.0
19.026989400708775,0.0,0.0,0.0
18.918337244297007,0.0,0.0,0.0
18.888296210936737,0.0,0.0,0.0
18.81698833250801,0.0,0.0,0.0
18.7494767599258,0.0,0.0,0.0
19.355589506095924,1.4649836597476356,0.0,0.0
20.0,1.9798243007521277,0.0,0.03884164631116172
20.0,1.8102773618810815,0.0,0.21362904099202054
20.0,1.6961519462159453,0.0,0.29131233361434394
20.0,1.6711030847567032,0.0,0.22916570500423275
20.0,1.6401961388085733,0.0,0.2408181961537075
20.0,1.661367807758361,0.0,0.22528153214149527
20.0,1.7260652842749147,0.0,0.17478740840022777
20.0,1.822604050475412,0.0,0.09710411577790432
20.0,1.9289628131733965,0.0,0.011652492864395845
20.0,1.9816890372439877,0.0,0.0
20.0,1.9985387410672977,0.0,0.0
20.0,1.9808299622728132,0.0,0.0
20.0,1.9542763236748901,0.0,0.0
20.0,1.9308901596213157,0.0,0.0
20.0,1.9382669949292821,0.0,0.0
20.0,1.9865356253723037,0.0,0.0
19.054239872959997,0.0,0.0,0.0
18.38396927557434,0.0,0.0,0.0
18.460994002719747,0.0,0.0,0.0
18.276316079549392,0.0,0.0,0.0
18.224170539415375,0.0,0.0,0.0
18.129833320495187,0.0,0.0,0.0
18.052913229264398,0.0,0.0,0.0
19.002198968740597,2.2534924228508233,0.0,0.0
20.0,3.0445476336331274,0.0,0.02330498572879169
20.0,2.874671257103279,0.0,0.11652493893348519
20.0,2.751530425870312,0.0,0.18643988583033352
20.0,2.649202513615746,0.0,0.22916570500423275
20.0,2.5741534068515706,0.0,0.24470234157770712
20.0,2.5315205651074453,0.0,0.22528153214149527
20.0,2.517774660328052,0.0,0.17478740840022777
20.0,2.530182490781509,0.0,0.10098827492127291
20.0,2.573604058770312,0.0,0.015536657152527791
20.0,2.591334263284128,0.0,0.0
20.0,2.597585209935383,0.0,0.0
20.0,2.6034781521447523,0.0,0.0
20.0,2.6201655560867785,0.0,0.0
